nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0687160491943359,21,22,352.1298550600114,97.76,0.0,8,98.61263022222222,177.453125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0703306198120117,21,22,350.1496109020624,97.76,0.0,8,108.23988964705882,178.667969
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0857710838317871,21,22,356.1999923739749,97.76,0.0,8,106.72058823529412,177.222656
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0699455738067627,21,22,360.24525432027406,107.37999999999973,0.0,8,107.25499138888888,176.558594
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0687141418457031,21,22,358.2517099072465,97.75999999999944,0.0,8,108.14085470588236,176.988281
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0649042129516601,21,22,359.3693895223853,156.5499999999996,1.3599999999997865,27,108.55790435294116,177.46875
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0753653049468994,21,22,361.4077374982864,191.2,66.43999999999991,41,107.1792535,175.234375
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0759873390197753,21,22,361.10670391045545,177.82,61.65999999999991,39,108.67991729411766,177.671875
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0744602680206298,21,22,361.2091718295706,203.9,78.3899999999999,46,109.21874983333335,176.382812
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0771481990814209,21,22,360.23840262862933,97.75999999999944,0.0,8,109.04503676470588,177.871094
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.084702730178833,21,22,358.2065321128642,97.76,0.0,8,109.17853852941177,177.855469
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0663244724273681,21,22,360.3755203448316,107.37999999999973,0.0,8,105.82261029411765,176.535156
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0631828308105468,21,22,352.5390955901118,97.76,0.0,8,106.14292270588237,177.632812
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0722215175628662,21,22,350.5542780450784,97.76,0.0,8,99.452691,179.363281
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0696995258331298,21,22,356.6372735674611,97.76,0.0,8,107.1792535,177.40625
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0686683654785156,21,22,345.05153305876354,156.5499999999996,1.3599999999997865,27,106.07352941176471,177.464844
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0671310424804687,21,22,361.0892355866174,97.76,0.0,8,98.43098955555556,177.421875
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0750644207000732,21,22,349.2872723520458,156.5499999999996,1.3599999999997865,27,106.19209564705882,177.242188
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0943365097045898,21,22,355.38862819277256,97.76,0.0,8,105.35014213636364,180.152344
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0652780532836914,21,22,353.3708972095921,97.76,0.0,8,98.0140625,179.585938
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0684094429016113,21,22,359.5019213204555,97.75999999999944,0.0,8,109.90950522222221,177.410156
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0620646476745605,21,22,359.22695663295,156.5499999999996,1.3599999999997865,27,105.73307305555555,177.449219
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0680975914001464,21,22,357.1434598301813,156.5499999999996,1.3599999999997865,27,106.47330716666667,177.507812
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0657896995544433,21,22,350.55900181314166,195.0399999999992,1.3599999999997865,27,106.04986217647058,177.664062
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0826113224029541,21,22,327.8380162788597,97.76,0.0,8,111.30664055555553,179.847656
