nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0657663345336914,18,19,346.5838338508617,88.67,39.66,59,107.79044105882353,176.316406
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0627706050872802,18,19,313.5976496730833,88.67,39.66,59,105.56181082352941,175.355469
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0648887157440185,18,19,327.7603564115987,88.67,39.66,59,108.3111978888889,175.601562
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0695066452026367,18,19,386.269427587856,88.67,39.66,59,107.82284,176.464844
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0621991157531738,18,19,352.2902517640485,88.67,39.66,59,106.10386035294117,174.554688
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0570607185363769,18,19,366.8722628699508,88.67,39.66,59,104.40280317647058,174.789062
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0613417625427246,18,19,492.0702888223463,88.67,39.66,59,106.32858447058823,176.050781
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0665590763092041,18,19,455.3828349127284,88.67,39.66,59,106.740579,175.941406
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0706183910369873,18,19,471.13412571001936,88.67,39.66,59,106.53745411764706,176.261719
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0689151287078857,18,19,373.04530738270313,88.67,39.66,59,106.27182894117647,174.941406
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0707001686096191,18,19,339.39521080274085,88.67,39.66,59,105.80750888888889,177.054688
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0649373531341552,18,19,353.84889766131994,88.67,39.66,59,105.27228870588235,176.210938
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0684351921081543,18,19,347.9019828199803,88.67,39.66,59,107.21277564705883,176.007812
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0615177154541015,18,19,314.91390448519576,88.67,39.66,59,107.29861111111111,176.328125
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0619087219238281,18,19,329.0709982122204,88.67,39.66,59,107.41957723529411,175.90625
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.063793659210205,18,19,395.5083824376623,88.67,39.66,59,106.78929223529411,176.164062
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0721673965454101,18,19,361.2935877647397,88.67,39.66,59,105.73632816666668,176.277344
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0676653385162353,18,19,375.9920213688781,88.67,39.66,59,106.9602481764706,175.828125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0674707889556884,18,19,357.1773293547513,88.67,39.66,59,107.87293188235294,176.257812
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0612545013427734,18,19,323.92684241943266,88.67,39.66,59,104.2522978235294,175.984375
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0659525394439697,18,19,338.20488099548857,88.67,39.66,59,104.715533,174.667969
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0759878158569336,18,19,399.5068100451415,88.67,39.66,59,110.04730905555556,177.386719
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0643050670623779,18,19,365.1928013138999,88.67,39.66,59,106.83088247058824,176.023438
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0625438690185546,18,19,379.9374666957797,88.67,39.66,59,105.00505517647059,175.132812
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.061086893081665,18,19,267.2276249420127,88.67,39.66,59,106.27734383333332,176.148438
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0645928382873535,18,19,236.2651011524765,88.67,39.66,59,108.0857077647059,176.402344
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.061288833618164,18,19,249.56397964024848,88.67,39.66,59,106.95565258823528,176.070312
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0853466987609863,18,19,359.82121430072823,88.67,39.66,59,108.87068242105263,176.644531
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0607740879058837,18,19,326.5001982072183,88.67,39.66,59,108.11443005882353,176.425781
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0610132217407226,18,19,340.8255571763806,88.67,39.66,59,108.48046872222223,174.921875
