nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.057063341140747,13,13,345.5838338508617,85.99,,63,104.51677388235295,175.714844
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0604016780853271,13,13,312.5976496730833,85.99,,63,105.87040435294115,175.488281
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0598025321960449,13,13,326.7603564115987,85.99,,63,108.58962683333333,175.179688
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0695357322692871,13,13,385.269427587856,85.99,,63,107.26996522222223,175.1875
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0601265430450439,13,13,351.2902517640485,85.99,,63,105.3060661764706,175.171875
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0585467815399169,13,13,365.8722628699508,85.99,,63,105.42325376470588,175.054688
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0548603534698486,13,13,491.0702888223463,85.99,,63,107.54664523529411,175.492188
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0614032745361328,13,13,454.3828349127284,85.99,,63,105.91613052941176,175.195312
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0565247535705566,13,13,470.13412571001936,85.99,,63,106.35317105882353,175.40625
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0624961853027343,13,13,372.04530738270313,85.99,,63,107.1390165882353,175.585938
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0560669898986816,13,13,338.39521080274085,85.99,,63,107.29067094117647,175.078125
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0595078468322753,13,13,352.84889766131994,85.99,,63,105.12087666666667,175.207031
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0754573345184326,13,13,346.9019828199803,85.99,,63,107.26240805882354,175.199219
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0563991069793701,13,13,313.91390448519576,85.99,,63,107.42578111764705,175.007812
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0578196048736572,13,13,328.0709982122204,85.99,,63,97.37912327777778,175.234375
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.067350149154663,13,13,394.5083824376623,85.99,,63,107.40096517647058,175.21875
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0556206703186035,13,13,360.2935877647397,85.99,,63,106.95588235294117,175.175781
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0602273941040039,13,13,374.9920213688781,85.99,,63,104.87890611764705,175.320312
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0590307712554931,13,13,356.1773293547513,85.99,,63,105.22472435294118,175.273438
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0575983524322509,13,13,322.92684241943266,85.99,,63,103.46375866666669,175.480469
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0576422214508056,13,13,337.20488099548857,85.99,,63,107.25574452941179,174.933594
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0596864223480224,13,13,398.5068100451415,85.99,,63,106.67026658823531,175.621094
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0596404075622558,13,13,364.1928013138999,85.99,,63,99.42035594444445,175.257812
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0587773323059082,13,13,378.9374666957797,85.99,,63,106.47449458823529,175.429688
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0579433441162109,13,13,266.2276249420127,85.99,,63,98.64301222222223,175.121094
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0607321262359619,13,13,235.2651011524765,85.99,,63,106.85959199999999,175.351562
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0639584064483642,13,13,248.56397964024848,85.99,,63,106.44025723529411,175.539062
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.059194803237915,13,13,358.82121430072823,85.99,,63,105.81020217647058,175.398438
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0597543716430664,13,13,325.5001982072183,85.99,,63,104.99448529411764,175.363281
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0563850402832031,13,13,339.8255571763806,85.99,,63,106.67210482352941,175.210938
