nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0606470108032226,18,19,361.0838338508617,82.0099999999999,2.089999999999989,1.0,104.83961411764706,174.671875
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0635676383972168,18,19,328.0976496730833,82.0099999999999,2.089999999999989,1.0,105.45542276470589,175.058594
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0618751049041748,18,19,342.2603564115987,82.0099999999999,2.089999999999989,1.0,104.3337673888889,174.933594
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.05743408203125,18,19,,,,,98.60937505555555,169.648438
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0637485980987548,18,19,361.79025176404855,83.40999999999991,15.48999999999998,21.0,106.3442095882353,174.855469
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0584843158721923,18,19,361.8722628699508,86.62999999999995,48.45999999999997,79.0,103.64154423529412,175.210938
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0485308170318603,18,19,,,,,105.0484834117647,169.695312
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0478012561798095,18,19,,,,,105.80032158823529,169.628906
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0593800544738769,18,19,,,,,100.82747383333334,169.695312
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0504307746887207,18,19,,,,,101.53618415789472,169.691406
