nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.048656940460205,13,13,,,,,105.21093752941178,169.449219
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.06294846534729,13,13,,,,,106.20243564705883,169.585938
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0504393577575683,13,13,,,,,104.76792276470587,169.5
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0539391040802001,13,13,,,,,106.14843752941177,169.640625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0498170852661132,13,13,,,,,105.17440264705884,169.777344
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0488853454589843,13,13,,,,,105.24448523529412,169.882812
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0494670867919921,13,13,,,,,98.2458882105263,169.589844
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0520782470703125,13,13,,,,,103.57605694117649,169.667969
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0465400218963623,13,13,,,,,107.02068017647059,169.71875
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0551066398620605,13,13,,,,,105.96415447058824,169.617188
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0494985580444335,13,13,,,,,96.36631944444444,169.679688
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0436937808990478,13,13,,,,,104.24701282352942,169.453125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.042851448059082,13,13,,,,,107.05560664705882,169.585938
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0501480102539062,13,13,,,,,105.57077211764705,169.707031
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0450797080993652,13,13,,,,,106.74540447058823,169.738281
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0528974533081054,13,13,,,,,106.34512864705884,169.699219
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0565378665924072,13,13,,,,,105.30101105882353,169.875
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0481894016265869,13,13,,,,,105.0006892352941,169.527344
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0455713272094726,13,13,,,,,106.35477941176471,169.894531
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0494272708892822,13,13,,,,,95.8359375,169.90625
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0520827770233154,13,13,,,,,105.77596499999999,169.457031
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0491011142730712,13,13,,,,,104.17072611764706,169.46875
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0396370887756347,13,13,,,,,105.79779411764706,169.789062
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0486457347869873,13,13,,,,,106.57215070588235,170.125
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0517756938934326,13,13,,,,,104.51822916666667,169.503906
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0662729740142822,13,13,249.7651011524765,,4.769999999999982,5.0,104.28193947058824,174.808594
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0659663677215576,13,13,249.81397964024848,,39.21999999999998,58.0,107.2483915882353,174.863281
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0501115322113037,13,13,,,,,103.47931982352941,169.492188
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0434963703155517,13,13,,,,,105.4195771764706,169.570312
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.05804443359375,13,13,,,,,108.46137150000001,169.605469
