nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,1.3859760761260986,2555,13033,,,,,103.40820309374999,151.527344
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,1.375523805618286,2555,13033,,,,,103.33435059375,151.433594
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,1.383805751800537,2555,13033,,,,,102.962646375,151.632812
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,1.4477033615112305,2555,13033,337.75,160.93,12.8,30.0,104.2209990909091,152.949219
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,1.409644603729248,2555,13033,337.75,163.53500000000005,12.8,30.0,103.20837396875001,155.390625
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,1.4337666034698486,2555,13033,337.75,160.93,12.8,30.0,103.49414071875,155.515625
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.5143613815307615,2555,13033,337.75,160.93,12.8,30.0,104.29794036363637,156.761719
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.5246727466583252,2555,13033,337.75,160.93,12.8,30.0,104.9803503030303,157.539062
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.517054796218872,2555,13033,337.75,160.93,12.8,30.0,104.85097066666667,158.519531
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.4171888828277588,2555,13033,,,,,102.89440915624999,153.867188
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.3905632495880127,2555,13033,,,,,103.16162106249999,154.746094
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,1.4010651111602783,2555,13033,337.75,163.53500000000005,12.8,30.0,103.13476568749999,155.453125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,1.3866736888885498,2555,13033,,,,,103.18505859375,151.957031
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,1.368849515914917,2555,13033,,,,,102.96130368749999,151.578125
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,1.380563259124756,2555,13033,,,,,103.21740725000001,152.367188
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,1.441021203994751,2555,13033,337.75,160.93,12.8,30.0,104.22857481818183,154.085938
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,1.427696704864502,2555,13033,337.75,160.93,12.8,30.0,103.18835443750001,155.546875
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,1.4303762912750244,2555,13033,337.75,160.93,12.8,30.0,101.81415709090908,155.671875
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,1.3857641220092771,2555,13033,,,,,103.56286628125,152.34375
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,1.3752844333648682,2555,13033,,,,,102.85998521875,151.792969
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,1.3922529220581057,2555,13033,,,,,103.34753406249999,152.039062
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,1.4349627494812012,2555,13033,337.75,160.93,12.8,30.0,104.56214487878788,156.097656
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,1.4228034019470217,2555,13033,337.75,160.93,12.8,30.0,101.01503321212121,154.261719
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,1.4373788833618164,2555,13033,337.75,160.93,12.8,30.0,103.91500966666668,153.105469
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,1.3845758438110352,2555,13033,,,,,102.5776366875,152.042969
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,1.3600993156433103,2555,13033,,,,,102.36633306249999,153.34375
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,1.3612871170043943,2555,13033,,,,,102.39624021875,151.453125
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,1.424652099609375,2555,13033,,,,,103.99112221212121,152.921875
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,1.378844976425171,2555,13033,,,,,103.46520993749999,152.789062
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,1.410749912261963,2555,13033,,,,,103.45690925,155.039062
