nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.822955846786499,1558,7434,,60.08500000000004,1.9000000000000008,1,94.78703696296296,146.390625
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.8075289726257324,1558,7434,,60.27999999999997,1.9000000000000008,1,94.71614585185186,146.230469
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.8051185607910156,1558,7434,,60.08500000000001,1.9000000000000008,1,95.04759837037038,146.085938
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.8588876724243164,1558,7434,,60.08500000000004,1.9000000000000008,1,95.36892359259258,149.804688
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.8413405418395996,1558,7434,,60.08500000000001,1.9000000000000008,1,94.70109955555556,148.023438
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.8510761260986328,1558,7434,,60.08500000000001,1.9000000000000008,1,95.58130796296297,149.828125
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.913029670715332,1558,7434,,59.74000000000001,1.9000000000000008,1,96.88741628571428,149.484375
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.913506269454956,1558,7434,,59.74000000000001,1.9000000000000008,1,96.83286824999998,149.453125
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.9215743541717528,1558,7434,,59.74000000000001,1.9000000000000008,1,96.69963732142858,149.359375
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.8413474559783936,1558,7434,,60.08500000000004,1.9000000000000008,1,95.1723090740741,149.898438
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.8332927227020264,1558,7434,,60.08500000000001,1.9000000000000008,1,95.08883103703704,148.492188
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.833608865737915,1558,7434,,60.08500000000004,1.9000000000000008,1,94.83015051851851,148.023438
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.809699535369873,1558,7434,,60.08500000000001,1.9000000000000008,1,94.8761574074074,146.953125
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.8032026290893555,1558,7434,,60.08500000000001,1.9000000000000008,1,94.84534148148148,146.015625
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.7996363639831543,1558,7434,,60.08500000000004,1.9000000000000008,1,94.83116318518518,146.402344
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.8605220317840576,1558,7434,,59.74000000000001,2.2,1,95.34244796296298,148.714844
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.8350634574890137,1558,7434,,60.08500000000001,1.9000000000000008,1,94.97974540740739,149.757812
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.8369214534759521,1558,7434,,60.08500000000001,1.9000000000000008,1,94.99985544444445,149.898438
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.8239741325378418,1558,7434,,60.08500000000001,1.9000000000000008,1,94.78689233333334,146.269531
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.8139927387237549,1558,7434,,60.08500000000001,1.9000000000000008,1,94.54007511111111,146.257812
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.8106803894042969,1558,7434,,60.08500000000001,1.9000000000000008,1,95.06438081481483,147.136719
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.8576374053955078,1558,7434,,59.74000000000001,1.9000000000000008,1,95.2015337037037,149.882812
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.8438332080841064,1558,7434,,60.08500000000001,1.9000000000000008,1,94.54629618518518,146.359375
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.8460092544555664,1558,7434,,60.08500000000004,2.2,1,94.45182285185184,148.429688
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.807525634765625,1558,7434,,60.27999999999997,1.9000000000000008,1,94.97641788888889,146.660156
