nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.9877288341522216,1839,9569,,,,,96.60867753571428,144.070312
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.9922726154327391,1839,9569,,,,,97.10452579310342,146.582031
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.9936153888702391,1839,9569,,,,,93.84240306896552,144.054688
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.995248556137085,1839,9569,,,,,97.6563846551724,146.539062
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.9859058856964112,1839,9569,,,,,97.56654099999999,146.675781
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.9972660541534424,1839,9569,,,,,97.71336213793104,146.804688
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.9892327785491944,1839,9569,,,,,97.44261855172414,146.5625
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.0018737316131592,1839,9569,,,,,97.82799031034483,146.4375
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.9886224269866944,1839,9569,,,,,97.20898435714285,144.035156
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.0012574195861816,1839,9569,,,,,95.47036627586206,146.601562
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.005089282989502,1839,9569,,,,,97.78219293103449,146.613281
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.98240327835083,1839,9569,,,,,97.57139020689655,146.621094
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.995957851409912,1839,9569,,,,,97.45662724137931,146.621094
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.996347427368164,1839,9569,,,,,97.7498653448276,146.421875
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.9868144989013672,1839,9569,,,,,97.15345982142857,145.886719
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.983816385269165,1839,9569,,,,,96.78724885714284,143.371094
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.9803898334503174,1839,9569,,,,,97.62203668965519,146.472656
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.990936517715454,1839,9569,,,,,94.17578131034483,145.925781
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.996939182281494,1839,9569,,,,,97.27411089655172,146.660156
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.9879679679870604,1839,9569,,,,,96.61481585714286,143.480469
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,1.0010607242584229,1839,9569,,,,,97.742457,146.324219
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.9874117374420166,1839,9569,,,,,97.77370696551723,146.722656
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.9903452396392822,1839,9569,,,,,94.17928348275863,145.949219
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.979374885559082,1839,9569,,,,,93.79552793103448,144.226562
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.9965758323669434,1839,9569,,,,,94.3389008275862,146.066406
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.9993667602539062,1839,9569,,,,,97.62405706896551,146.417969
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,1.0072922706604004,1839,9569,,,,,98.00579199999999,146.722656
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.9878194332122804,1839,9569,,,,,96.96205364285713,145.460938
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.981255054473877,1839,9569,,,,,97.56734917241378,146.363281
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.9887263774871826,1839,9569,,,,,95.37836744827585,146.449219
