nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,1.39044189453125,2555,13033,342.505,135.755,36.15,20,103.14953609375,153.996094
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,1.3667988777160645,2555,13033,342.505,139.50400000000005,36.15,20,102.731811625,152.25
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,1.3735857009887695,2555,13033,342.505,135.755,36.15,20,103.10302725000001,153.125
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,1.4473938941955566,2555,13033,341.47,138.37,39.85,21,104.54142981818183,155.171875
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,1.418649435043335,2555,13033,341.47,138.37,38.30714285714286,21,103.40185543749999,155.574219
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,1.4225003719329834,2555,13033,341.47,138.37,38.30714285714286,21,101.14157193939393,155.726562
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.599837064743042,2555,13033,340.56,139.33999999999995,38.4,23,105.79561120588235,160.0
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.5995852947235107,2555,13033,340.56,139.33999999999995,38.4,23,106.2058824117647,159.917969
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.6104414463043213,2555,13033,340.5600000000002,139.33999999999995,38.4,23,106.42773444117648,159.691406
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.428609848022461,2555,13033,341.47,138.37,38.30714285714286,21,101.04758515151515,156.210938
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.419759750366211,2555,13033,341.47,138.37,38.30714285714286,21,103.54943853124999,154.675781
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,1.4200410842895508,2555,13033,341.47,138.37,38.30714285714286,21,103.1687010625,154.972656
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,1.392794132232666,2555,13033,341.47,138.37,38.30714285714286,21,103.13842771875,152.25
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,1.3780138492584229,2555,13033,342.505,135.755,37.40454545454546,20,102.77807621875,152.558594
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,1.4020731449127195,2555,13033,342.505,135.755,36.15,20,103.0650635625,153.882812
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,1.4430110454559326,2555,13033,341.47,138.37,38.30714285714286,21,104.19294509090909,155.972656
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,1.4268128871917725,2555,13033,341.47,138.37,38.30714285714286,21,104.15849912121212,155.058594
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,1.4328715801239014,2555,13033,341.47,138.37,38.359183673469374,21,102.75899627272726,155.882812
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,1.425398588180542,2555,13033,341.47,138.37,38.30714285714286,21,103.70410153125,152.8125
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,1.3817548751831057,2555,13033,342.505,135.755,36.15,20,103.62402346875001,154.0625
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,1.3822171688079834,2555,13033,341.47,138.37,38.30714285714286,21,102.9403075,154.875
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,1.4805781841278076,2555,13033,340.56,137.78,38.4,23,103.98792606060606,156.378906
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,1.432538986206055,2555,13033,341.47,138.37,39.35238095238096,21,104.20797818181816,153.890625
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,1.4674763679504397,2555,13033,341.47,138.37,36.3,21,104.83132099999999,156.230469
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,1.3687636852264404,2555,13033,342.505,135.755,36.15,20,102.7611084375,152.003906
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,1.3887863159179688,2555,13033,342.505,135.755,36.15,20,103.33544921875,152.800781
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,1.3743810653686523,2555,13033,342.505,135.755,36.15,20,102.85766606249999,154.652344
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,1.4125359058380127,2555,13033,341.47,138.37,38.30714285714286,21,103.164795,153.792969
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,1.397676706314087,2555,13033,341.47,138.37,38.30714285714286,21,103.56213378125,152.679688
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,1.4171724319458008,2555,13033,341.47,138.37,38.30714285714286,21,103.34130871875,154.890625
