nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,1.007913589477539,1839,9569,348.8975,83.50874999999999,,5,95.02774786206898,151.152344
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,1.0081706047058103,1839,9569,348.8975,83.50874999999999,,5,98.1663524137931,149.234375
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,1.0101990699768066,1839,9569,348.8975,83.50874999999999,,5,98.18749996551725,151.855469
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,1.0327844619750977,1839,9569,348.8975,83.82512195121951,,5,98.46619075862068,149.375
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,1.0353634357452393,1839,9569,348.8975,83.50874999999999,,5,98.42120151724139,150.078125
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,1.0410165786743164,1839,9569,348.8975,83.50874999999999,,5,98.43089979310345,148.710938
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.1305265426635742,1839,9569,348.8975,83.52,,5,100.18424476666668,154.207031
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.1429908275604248,1839,9569,348.8975,83.52,,5,99.82252606666667,153.777344
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.1302101612091064,1839,9569,348.8975,83.52,,5,99.69479166666666,154.316406
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.0435259342193604,1839,9569,348.8975,83.50874999999999,,5,98.55441813793105,149.042969
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.0279641151428225,1839,9569,348.8975,83.50874999999999,,5,98.32502696551724,151.015625
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,1.0254456996917725,1839,9569,348.8975,83.50874999999999,,5,98.46403544827584,149.988281
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.999831199645996,1839,9569,348.8975,83.50874999999999,,5,98.16945041379311,150.972656
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,1.0109777450561523,1839,9569,348.8975,83.50874999999999,,5,98.10977913793104,148.636719
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,1.0108718872070312,1839,9569,348.8975,83.50874999999999,,5,97.47252162068963,150.78125
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,1.0419425964355469,1839,9569,348.8975,83.27384615384615,,5,98.67497306896551,149.800781
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,1.0385918617248535,1839,9569,348.8975,83.50874999999999,,5,98.70070048275862,149.828125
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,1.0459327697753906,1839,9569,348.8975,83.50874999999999,,5,98.6555765862069,151.109375
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,1.0137555599212646,1839,9569,348.8975,83.50874999999999,,5,98.76549027586206,150.359375
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,1.0142478942871094,1839,9569,348.8975,83.50874999999999,,5,98.476832,150.617188
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,1.006397724151611,1839,9569,348.8975,83.50874999999999,,5,98.39628227586206,150.472656
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,1.0403404235839844,1839,9569,348.8975,83.27384615384615,,5,98.51064120689655,149.9375
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,1.0424964427947998,1839,9569,348.8975,83.50874999999999,,5,98.45245137931033,149.957031
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,1.0677475929260254,1839,9569,348.8975,83.50874999999999,,5,98.67712820689654,152.457031
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,1.0074021816253662,1839,9569,348.8975,77.76,,4,98.3153287586207,149.347656
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.9995684623718262,1839,9569,348.8975,77.76,,4,97.25915962068967,149.304688
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.991147518157959,1839,9569,348.8975,83.50874999999999,,5,94.70743527586208,147.152344
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,1.0170814990997314,1839,9569,348.8975,83.50874999999999,,5,98.21551724137932,150.792969
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,1.0160925388336182,1839,9569,348.8975,83.50874999999999,,5,98.21349672413791,150.101562
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,1.0316965579986572,1839,9569,348.8975,83.50874999999999,,5,98.16365831034483,149.953125
