nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,1.3671207427978516,2555,13033,,,,,102.6044923125,152.0
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,1.3583531379699707,2555,13033,,,,,102.4697265625,150.414062
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,1.3521568775177002,2555,13033,,,,,102.93273925,150.953125
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,1.3575234413146973,2555,13033,,,,,102.68688971875,150.421875
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,1.3590927124023438,2555,13033,,,,,102.8757325,150.367188
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,1.3651373386383057,2555,13033,,,,,103.39379881250001,151.5
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.3749630451202393,2555,13033,,,,,102.40551759375,148.960938
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.3578624725341797,2555,13033,,,,,102.99560543749999,150.519531
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.343837022781372,2555,13033,,,,,103.06713871875,150.691406
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.3627488613128662,2555,13033,,,,,102.92724609375,150.730469
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.3474664688110352,2555,13033,,,,,102.96521009375,150.960938
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,1.3397867679595947,2555,13033,,,,,102.845459,150.890625
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,1.3635356426239014,2555,13033,,,,,103.3758545625,150.617188
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,1.354320049285889,2555,13033,,,,,102.48547365625001,150.25
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,1.3651630878448486,2555,13033,,,,,102.91809090625,151.023438
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,1.3493473529815674,2555,13033,,,,,102.77978515625,150.773438
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,1.3600540161132812,2555,13033,,,,,102.89978021875001,150.425781
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,1.3682482242584229,2555,13033,,,,,102.57360846875,150.53125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,1.364144802093506,2555,13033,,,,,103.16723634375,150.65625
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,1.3552415370941162,2555,13033,,,,,103.03662115624999,150.398438
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,1.3548073768615725,2555,13033,,,,,102.77868649999999,150.511719
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,1.348435640335083,2555,13033,,,,,102.81726075,150.78125
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,1.342884540557861,2555,13033,,,,,103.01684578125,150.933594
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,1.353562593460083,2555,13033,,,,,102.70605459375,150.570312
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,1.3588542938232422,2555,13033,,,,,103.06030284375,150.808594
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,1.3485898971557615,2555,13033,,,,,101.73107909375,147.28125
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,1.3523874282836914,2555,13033,,,,,103.15563971875,150.703125
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,1.3564324378967283,2555,13033,,,,,102.63293462499999,150.449219
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,1.3565692901611328,2555,13033,,,,,103.11889646875,151.027344
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,1.3494465351104736,2555,13033,,,,,103.11401371875,150.644531
