nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.9659919738769532,1720,9068,312.7,,78.0774193548387,41,96.09235489285713,142.894531
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.9610300064086914,1720,9068,312.7,,78.0774193548387,41,94.36395479310345,148.5625
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.9517338275909424,1720,9068,312.7,,78.0774193548387,41,96.73590964285715,148.589844
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.967954397201538,1720,9068,312.7,,78.0774193548387,41,96.41336496428572,146.375
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.9646396636962892,1720,9068,312.7,,78.0774193548387,41,96.61063053571426,147.269531
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.9673612117767334,1720,9068,312.7,,78.0774193548387,41,94.02747851724139,145.683594
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.0004069805145264,1720,9068,307.98,,60.400000000000006,46,98.38469831034485,149.867188
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.0075881481170654,1720,9068,307.98,,60.400000000000006,46,98.2621228275862,149.800781
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.002180576324463,1720,9068,307.98,,60.400000000000006,46,97.40045803448277,148.890625
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.9741859436035156,1720,9068,312.7,,78.0774193548387,41,96.33482142857143,146.3125
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.965646505355835,1720,9068,312.7,,78.0774193548387,41,97.21372764285715,148.039062
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.9710166454315186,1720,9068,312.7,,78.0774193548387,41,96.77232153571428,146.578125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.9528286457061768,1720,9068,312.7,,78.0774193548387,41,97.02246089285713,146.402344
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.9601211547851562,1720,9068,312.7,,78.0774193548387,41,96.52525117857144,146.667969
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.9686741828918456,1720,9068,312.7,,78.0774193548387,41,96.498605,144.261719
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.9814345836639404,1720,9068,312.7,,78.0774193548387,41,97.29464285714285,147.878906
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.979605197906494,1720,9068,312.7,,78.0774193548387,41,96.77832032142855,146.441406
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.981365203857422,1720,9068,312.7,,78.0774193548387,41,96.92299110714285,146.847656
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.9870619773864746,1720,9068,312.7,,78.0774193548387,41,97.63806572413792,148.636719
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.9697308540344238,1720,9068,312.7,,78.0774193548387,41,96.92159607142855,147.113281
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.9721877574920654,1720,9068,312.7,,78.0774193548387,41,96.95452010714287,148.925781
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.9790401458740234,1720,9068,312.7,,78.0774193548387,41,96.81598764285715,146.5
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.9880092144012452,1720,9068,312.7,,78.0774193548387,41,97.9141971724138,149.457031
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.982062816619873,1720,9068,312.7,,78.0774193548387,41,96.91085382142857,146.171875
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.9552321434020996,1720,9068,312.7,,78.0774193548387,41,96.76562496428572,148.800781
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.96968412399292,1720,9068,312.7,,78.0774193548387,41,97.2265625,146.777344
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.9606304168701172,1720,9068,312.7,,78.0774193548387,41,96.73465414285715,147.796875
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.9668657779693604,1720,9068,312.7,,78.0774193548387,41,96.8826729642857,147.996094
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.9622769355773926,1720,9068,312.7,,78.0774193548387,41,96.73228239285712,148.765625
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.9752435684204102,1720,9068,312.7,,78.0774193548387,41,96.81222092857142,146.84375
