nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.8382737636566162,1647,7784,,,,,94.57595496296297,142.617188
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.8341403007507324,1647,7784,,,,,94.98683459259259,144.023438
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.8321857452392578,1647,7784,,,,,94.34606477777777,142.921875
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.8329973220825195,1647,7784,,,,,94.43156833333335,142.496094
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.8319911956787109,1647,7784,,,,,94.39322929629631,142.386719
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.8223288059234619,1647,7784,,,,,95.02705448148147,145.425781
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.8370769023895264,1647,7784,,,,,94.43721066666667,142.34375
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.8180480003356934,1647,7784,,,,,94.37326392592593,145.210938
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.8273050785064697,1647,7784,,,,,94.7453704074074,142.769531
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.8441460132598877,1647,7784,,,,,94.53110533333334,142.582031
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.8365457057952881,1647,7784,,,,,94.2148435185185,142.878906
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.8419022560119629,1647,7784,,,,,94.22482633333333,142.253906
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.8295590877532959,1647,7784,,,,,94.993779,145.242188
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.8339662551879883,1647,7784,,,,,94.15422451851852,142.148438
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.839648962020874,1647,7784,,,,,94.43258107407406,142.675781
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.8258485794067383,1647,7784,,,,,94.64076974074075,144.578125
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.83817458152771,1647,7784,,,,,94.42693874074075,142.652344
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.8396570682525635,1647,7784,,,,,94.11545125925925,142.160156
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.8313779830932617,1647,7784,,,,,94.57711233333333,142.8125
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.8233916759490967,1647,7784,,,,,93.25564225925926,142.269531
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.8305928707122803,1647,7784,,,,,94.47439240740742,142.992188
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.8350012302398682,1647,7784,,,,,95.49942129629629,144.871094
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.829615592956543,1647,7784,,,,,94.82494207407407,145.414062
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.826108455657959,1647,7784,,,,,94.98061333333334,144.28125
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.8320562839508057,1647,7784,,,,,94.25159133333334,142.394531
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.8301091194152832,1647,7784,,,,,94.84027785185184,145.570312
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.8467433452606201,1647,7784,,,,,95.91308589285714,142.828125
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.8274891376495361,1647,7784,,,,,95.2242477037037,144.535156
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.8322815895080566,1647,7784,,,,,94.43750011111112,142.753906
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.8306941986083984,1647,7784,,,,,93.78385411111111,142.839844
