nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,1.2034618854522705,2251,11460,293.59944444444443,84.16434782608694,13.05972972972973,13,100.28763020000001,150.058594
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,1.1926085948944092,2251,11460,293.59944444444443,84.16434782608694,13.05972972972973,13,100.11630548387096,150.414062
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,1.1865270137786863,2251,11460,293.59944444444443,84.16434782608694,13.05972972972973,13,100.340625,149.382812
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,1.2626359462738037,2251,11460,312.433,83.916,11.753333333333336,11,101.02053935483869,151.269531
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,1.2212610244750977,2251,11460,312.433,83.916,11.753333333333336,11,101.64150703225806,152.0
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,1.2295291423797607,2251,11460,312.433,83.916,11.753333333333336,11,101.42704135483872,152.601562
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.3503658771514893,2251,11460,306.98,82.98,7.015,3,103.1538086875,157.8125
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.3388895988464355,2251,11460,306.98,82.98,7.015,3,103.5350341875,157.941406
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.3457741737365725,2251,11460,306.98,82.98,7.015,3,102.876709,157.65625
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.2328388690948486,2251,11460,312.433,83.916,11.753333333333336,11,101.51625503225806,152.0625
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.2057535648345947,2251,11460,312.433,83.916,11.753333333333336,11,100.98046883870968,151.117188
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,1.2201268672943115,2251,11460,312.433,83.916,11.753333333333336,11,99.97038803225806,151.5
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,1.1956803798675537,2251,11460,293.59944444444443,84.16434782608694,13.05972972972973,13,100.60664059999999,150.214844
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,1.1851463317871094,2251,11460,309.9818518518519,84.16434782608694,13.05972972972973,13,97.57610887096774,149.503906
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,1.217790126800537,2251,11460,293.59944444444443,84.16434782608694,13.05972972972973,13,100.93838206451613,151.261719
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,1.2820286750793457,2251,11460,306.98,83.0,7.015,3,101.68245958064516,153.277344
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,1.2215285301208496,2251,11460,312.433,83.916,11.753333333333336,11,101.34148174193548,152.214844
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,1.249589920043945,2251,11460,312.433,83.916,11.753333333333336,11,101.0274697096774,151.535156
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,1.2045845985412598,2251,11460,293.59944444444443,84.16434782608694,13.05972972972973,13,97.7787299032258,149.832031
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,1.1953048706054688,2251,11460,293.59944444444443,84.16434782608694,13.05972972972973,13,97.53931458064517,149.121094
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,1.2054097652435305,2251,11460,297.99,83.916,11.753333333333336,11,100.27838546666668,150.125
