nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.8004980087280273,1415,7478,372.9692857142858,82.828,,1,95.04311333333334,147.609375
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.7908830642700195,1415,7478,372.9692857142858,82.828,,1,94.51591440740741,146.371094
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.7943925857543945,1415,7478,372.9692857142858,82.828,,1,94.08940974074075,146.40625
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.8098998069763184,1415,7478,372.9692857142858,82.74,,1,94.73292825925927,147.855469
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.8129231929779053,1415,7478,372.9692857142858,82.76,,1,94.97540518518518,147.710938
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.8179101943969727,1415,7478,372.9692857142858,82.76,,1,94.74811918518517,146.597656
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.8529136180877686,1415,7478,372.9692857142858,82.74,,1,95.33058455555555,148.695312
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.8449983596801758,1415,7478,372.9692857142858,82.74,,1,95.73857055555555,154.050781
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.8358602523803711,1415,7478,372.9692857142858,82.74,,1,95.41160303703704,155.796875
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.8153769969940186,1415,7478,372.9692857142858,82.76,,1,95.01374418518517,147.050781
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.8041970729827881,1415,7478,372.9692857142858,82.828,,1,95.08391192592592,148.1875
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.8168628215789795,1415,7478,372.9692857142858,82.76,,1,94.54976855555557,149.742188
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.798987865447998,1415,7478,372.9692857142858,82.828,,1,94.96093759259259,147.375
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.7941775321960449,1415,7478,372.9692857142858,82.828,,1,94.94661451851852,146.953125
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.7920181751251221,1415,7478,372.9692857142858,82.828,,1,94.87022574074075,146.835938
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.8242940902709961,1415,7478,372.9692857142858,82.74,,1,94.73654511111111,145.984375
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.8230044841766357,1415,7478,372.9692857142858,82.76,,1,94.6102431111111,146.847656
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.8190586566925049,1415,7478,372.9692857142858,82.76,,1,94.80598955555554,152.210938
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.8179492950439453,1415,7478,372.9692857142858,82.828,,1,94.62268522222222,145.359375
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.8005926609039307,1415,7478,372.9692857142858,82.828,,1,94.47207755555556,147.167969
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.8026747703552246,1415,7478,372.9692857142858,82.828,,1,95.00954862962963,147.058594
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.8387563228607178,1415,7478,372.9692857142858,82.74,,1,95.07118051851852,153.402344
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.8059723377227783,1415,7478,372.9692857142858,82.76,,1,94.8953993703704,147.699219
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.8341634273529053,1415,7478,372.9692857142858,82.76,,1,94.46368640740741,148.277344
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.7942056655883789,1415,7478,372.9692857142858,82.828,,1,94.51490166666666,146.542969
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.7926657199859619,1415,7478,372.9692857142858,82.828,,1,94.84230322222221,145.84375
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.7973611354827881,1415,7478,372.9692857142858,82.828,,1,94.84939233333333,146.453125
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.8148956298828125,1415,7478,372.9692857142858,82.828,,1,94.69661448148148,147.46875
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.7918410301208496,1415,7478,372.9692857142858,82.828,,1,94.23206018518519,146.59375
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.796837568283081,1415,7478,372.9692857142858,82.828,,1,94.65075229629629,146.941406
