nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,1.201157808303833,2251,11460,278.4849999999999,85.45017857142855,20.855,26,100.77683974193549,150.835938
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,1.185747146606445,2251,11460,293.59944444444443,85.45017857142855,20.855,26,100.42825526666665,151.242188
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,1.248661756515503,2251,11460,293.59944444444443,85.45017857142855,20.855,26,100.73135080645162,150.886719
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,1.2765486240386963,2251,11460,278.4849999999999,85.45017857142855,20.855,26,102.68652346875,154.632812
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,1.2387330532073977,2251,11460,278.4849999999999,85.45017857142855,20.855,26,101.47379025806451,152.054688
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,1.26104736328125,2251,11460,278.4849999999999,85.45017857142855,20.855,26,101.30367948387095,152.320312
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.533498764038086,2251,11460,278.4849999999999,85.45017857142855,20.869999999999987,26,102.57697611764706,159.140625
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.5150737762451172,2251,11460,278.4849999999999,85.45017857142855,20.869999999999987,26,102.62178311764707,158.59375
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.5175800323486328,2251,11460,278.4849999999999,85.45017857142855,20.869999999999987,26,105.8370027878788,166.25
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.267915964126587,2251,11460,278.4849999999999,85.45017857142855,20.855,26,102.09526203225808,153.046875
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.2316582202911377,2251,11460,278.4849999999999,85.45017857142855,20.855,26,101.49798390322582,154.078125
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,1.25146484375,2251,11460,278.4849999999999,85.45017857142855,20.855,26,101.0791330967742,155.699219
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,1.2311251163482666,2251,11460,278.4849999999999,85.45017857142855,20.855,26,101.093624,151.300781
