nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.8044407367706299,1415,7478,278.4849999999999,85.07,,23,94.97598374074074,147.046875
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.7972493171691895,1415,7478,293.59944444444443,84.16434782608694,,13,94.78877314814817,146.785156
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.8055410385131836,1415,7478,293.59944444444443,84.27000000000001,,14,94.82161455555554,146.679688
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.8627667427062988,1415,7478,278.4849999999999,85.11,,23,92.47739960714286,148.945312
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.818387508392334,1415,7478,278.4849999999999,85.12137931034482,,23,95.31987851851852,148.714844
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.8355345726013184,1415,7478,278.4849999999999,85.07,,23,95.26302081481481,146.898438
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.9860565662384032,1415,7478,278.4849999999999,86.25999999999999,,30,96.58499472413794,152.148438
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.983511209487915,1415,7478,278.4849999999999,86.25999999999999,,30,97.26548560714288,152.179688
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.9788305759429932,1415,7478,278.4849999999999,86.25999999999999,,30,97.334682,151.757812
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.8488309383392334,1415,7478,278.4849999999999,85.105,,23,94.97207759259257,147.296875
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.8158159255981445,1415,7478,278.4849999999999,85.07,,23,95.02604174074074,148.441406
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.8402609825134277,1415,7478,278.4849999999999,85.07,,23,94.84230322222221,146.667969
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.8305549621582031,1415,7478,278.4849999999999,85.12137931034482,,23,95.36038777777776,154.789062
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.7919120788574219,1415,7478,293.59944444444443,84.16434782608694,,13,95.40668399999998,149.605469
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.8016269207000732,1415,7478,293.59944444444443,84.16434782608694,,13,94.93518518518519,148.027344
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.8817334175109863,1415,7478,278.4849999999999,86.1802857142857,,30,96.49288510714288,149.804688
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.8346648216247559,1415,7478,278.4849999999999,85.09,,23,95.11313655555556,152.820312
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.8593251705169678,1415,7478,278.4849999999999,85.09,,23,95.40104166666667,148.335938
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.8116049766540527,1415,7478,278.4849999999999,86.15380952380954,,30,94.46180555555556,146.03125
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.8093626499176025,1415,7478,293.59944444444443,84.16434782608694,,13,95.01157411111109,147.308594
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.8101451396942139,1415,7478,293.59944444444443,85.34,,25,94.87615751851853,148.140625
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.9006609916687012,1415,7478,278.4849999999999,86.1802857142857,,30,96.89732142857142,149.238281
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.8409152030944824,1415,7478,278.4849999999999,85.12137931034482,,23,95.54398148148147,155.664062
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.8705570697784424,1415,7478,278.4849999999999,85.22272727272727,,23,92.60993307142859,149.621094
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.7907896041870117,1415,7478,293.59944444444443,84.16434782608694,,13,94.9058158888889,148.785156
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.799846887588501,1415,7478,293.59944444444443,84.16434782608694,,13,94.68692137037038,146.722656
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.8051354885101318,1415,7478,293.59944444444443,84.16434782608694,,13,94.91102429629629,148.769531
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.8231134414672852,1415,7478,278.4849999999999,85.07,,23,94.98046877777779,147.792969
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.8060116767883301,1415,7478,278.4849999999999,85.12137931034482,,23,94.71064814814814,147.472656
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.8077847957611084,1415,7478,278.4849999999999,85.07,,23,94.84085651851852,147.894531
