nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.7995321750640869,1447,7663,,,,,94.36617470370372,144.308594
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.8058602809906006,1447,7663,,,,,94.75679985185185,144.582031
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.8074166774749756,1447,7663,,,,,94.40726255555556,144.285156
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.8003654479980469,1447,7663,,,,,94.61559607407408,144.417969
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.8093607425689697,1447,7663,,,,,94.07175922222223,142.1875
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.8080000877380371,1447,7663,,,,,94.79890048148147,144.558594
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.8082976341247559,1447,7663,,,,,94.47916659259259,144.203125
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.7951371669769287,1447,7663,,,,,94.60980899999998,143.925781
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.8109569549560547,1447,7663,,,,,94.28313085185184,145.21875
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.8043408393859863,1447,7663,,,,,94.2479745925926,143.902344
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.8182542324066162,1447,7663,,,,,94.2903645925926,142.515625
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.8033804893493652,1447,7663,,,,,94.55902785185187,144.140625
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.8030397891998291,1447,7663,,,,,94.36140051851852,144.71875
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.8140926361083984,1447,7663,,,,,94.88932299999999,144.203125
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.8094654083251953,1447,7663,,,,,93.17230899999998,142.140625
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.8115112781524658,1447,7663,,,,,93.78414355555557,142.566406
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.8099400997161865,1447,7663,,,,,93.87818285185185,142.289062
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.7964150905609131,1447,7663,,,,,94.44068266666666,144.101562
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.8068687915802002,1447,7663,,,,,94.53211792592592,144.066406
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.7981915473937988,1447,7663,,,,,95.18475111111111,144.5625
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.8008430004119873,1447,7663,,,,,94.5073784074074,144.359375
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.7986860275268555,1447,7663,,,,,94.24782988888889,144.300781
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.8087449073791504,1447,7663,,,,,94.75303818518518,144.417969
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.8161835670471191,1447,7663,,,,,94.68561918518519,144.183594
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.7983052730560303,1447,7663,,,,,94.26895255555556,144.089844
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.8107452392578125,1447,7663,,,,,94.57320603703705,143.617188
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.8039681911468506,1447,7663,,,,,94.31973381481481,144.28125
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.8032016754150391,1447,7663,,,,,94.30700237037036,144.269531
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.8160336017608643,1447,7663,,,,,94.82335066666666,144.117188
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.8042354583740234,1447,7663,,,,,94.98365155555554,144.25
