nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.848041296005249,1647,7784,,82.828,5.691111111111111,1,94.67491322222223,143.621094
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.8579049110412598,1647,7784,,82.828,5.691111111111111,1,95.10286466666666,142.671875
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.8411357402801514,1647,7784,,82.828,5.691111111111111,1,94.91536455555554,146.34375
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.8656127452850342,1647,7784,,82.828,5.691111111111111,1,95.85923557142857,146.816406
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.8574986457824707,1647,7784,,82.828,5.691111111111111,1,94.88975692592592,143.058594
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.8673512935638428,1647,7784,,82.828,5.691111111111111,1,95.00303818518518,146.171875
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.8927114009857178,1647,7784,,82.828,5.691111111111111,1,96.0898437857143,147.328125
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.8994011878967285,1647,7784,,82.828,5.691111111111111,1,96.29603796428569,147.226562
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.902763605117798,1647,7784,,82.828,5.691111111111111,1,96.67550235714285,146.347656
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.8536441326141357,1647,7784,,82.828,5.691111111111111,1,92.36049100000001,147.328125
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.8565137386322021,1647,7784,,82.828,5.691111111111111,1,95.10257522222224,145.296875
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.865154504776001,1647,7784,,82.828,5.691111111111111,1,95.76032375,148.09375
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.8483641147613525,1647,7784,,82.828,5.691111111111111,1,95.26757792857141,146.363281
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.8431026935577393,1647,7784,,82.828,5.691111111111111,1,92.14508932142856,147.878906
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.8496134281158447,1647,7784,,82.828,5.691111111111111,1,92.773577,148.445312
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.872666597366333,1647,7784,,82.828,5.691111111111111,1,95.219029,146.929688
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.8583455085754395,1647,7784,,82.828,5.691111111111111,1,95.14293985185186,146.855469
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.8666982650756836,1647,7784,,82.828,5.691111111111111,1,92.39494978571429,145.414062
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.861004114151001,1647,7784,,82.828,5.691111111111111,1,91.85714285714285,146.84375
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.8435444831848145,1647,7784,,82.828,5.691111111111111,1,94.77358214814814,145.589844
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.8556220531463623,1647,7784,,82.828,5.691111111111111,1,94.50636574074075,144.765625
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.8745319843292236,1647,7784,,82.828,5.691111111111111,1,93.41127228571429,147.304688
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.8538358211517334,1647,7784,,82.828,5.691111111111111,1,94.78342018518518,146.253906
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.8670990467071533,1647,7784,,82.828,5.691111111111111,1,95.45572914814814,146.15625
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.8555738925933838,1647,7784,,82.828,5.691111111111111,1,95.2264229642857,146.972656
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.8528735637664795,1647,7784,,82.828,5.691111111111111,1,95.24594911111113,142.996094
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.8493466377258301,1647,7784,,82.828,5.691111111111111,1,95.22540503703702,147.6875
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.8509006500244141,1647,7784,,82.828,5.691111111111111,1,92.69768414285713,147.566406
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.8542976379394531,1647,7784,,82.828,5.691111111111111,1,94.30538503571428,146.632812
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.8585124015808105,1647,7784,,82.828,5.691111111111111,1,94.78862855555555,142.691406
