nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,1.199632167816162,2251,11460,,,,,99.28414819354839,149.128906
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,1.1860344409942627,2251,11460,,,,,99.9566405333333,146.453125
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,1.187185287475586,2251,11460,,,,,99.33997396666665,145.855469
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,1.1705574989318848,2251,11460,,,,,99.6665364,146.820312
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,1.1658380031585691,2251,11460,,,,,100.04739579999999,148.957031
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,1.192927360534668,2251,11460,,,,,97.73046874193548,149.425781
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.184218406677246,2251,11460,,,,,99.56497396666667,147.007812
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.189793348312378,2251,11460,,,,,98.24823590322582,149.242188
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.16711163520813,2251,11460,,,,,99.34088553333335,146.824219
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.1698112487792969,2251,11460,,,,,99.4136718,146.738281
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.1865737438201904,2251,11460,,,,,99.88867186666667,146.925781
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,1.1616318225860596,2251,11460,,,,,99.18580726666666,146.398438
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,1.1723098754882812,2251,11460,,,,,99.80572923333332,146.796875
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,1.185739040374756,2251,11460,,,,,99.87421880000002,147.082031
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,1.2078354358673096,2251,11460,,,,,98.59904238709679,148.992188
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,1.1693227291107178,2251,11460,,,,,99.95065096666667,150.066406
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,1.15613055229187,2251,11460,,,,,99.65950513333334,148.695312
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,1.1872341632843018,2251,11460,,,,,99.51432286666665,147.15625
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,1.186845779418945,2251,11460,,,,,99.97122396666667,147.265625
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,1.1828725337982178,2251,11460,,,,,99.67460943333332,146.558594
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,1.1659173965454102,2251,11460,,,,,99.96302076666667,150.3125
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,1.1985044479370115,2251,11460,,,,,100.1049479,146.476562
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,1.1758754253387451,2251,11460,,,,,100.10611973333334,149.925781
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,1.1610136032104492,2251,11460,,,,,99.75078126666666,150.167969
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,1.1694562435150146,2251,11460,,,,,99.59739586666667,146.6875
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,1.1730146408081057,2251,11460,,,,,99.78945313333334,147.484375
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,1.1768805980682373,2251,11460,,,,,99.8692709,146.457031
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,1.181196212768555,2251,11460,,,,,99.51614596666668,146.511719
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,1.157991886138916,2251,11460,,,,,99.604948,148.300781
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,1.1768922805786133,2251,11460,,,,,100.44674486666668,150.136719
