nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,35.392980098724365,,,,60.05333333333334,1.9000000000000008,1,362.0683173432433,703.859375
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,32.45496892929077,,,,60.053333333333335,1.9000000000000008,1,354.4700633157894,703.425781
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,33.626277446746826,,,,60.05333333333334,1.9000000000000008,1,364.4586024759206,712.144531
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,34.294108152389526,,,,60.05333333333334,1.9000000000000008,1,369.1296984944444,703.660156
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,33.62258958816528,,,,60.05333333333334,1.9000000000000008,1,368.8987362917847,712.238281
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,33.97860383987427,,,,60.05333333333334,1.9000000000000008,1,370.0827006404494,711.902344
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,34.18473744392395,,,,59.74000000000001,1.9000000000000008,1,369.00808395833343,703.304688
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,34.30481290817261,,,,59.74000000000001,1.9000000000000008,1,368.7094874653739,703.546875
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,33.930553913116455,,,,59.74000000000001,1.9000000000000008,1,369.6362906573033,703.394531
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,32.27641582489014,,,,60.05333333333334,1.9000000000000008,1,359.2446921941177,703.492188
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,33.82288479804993,,,,60.05333333333334,1.9000000000000008,1,368.8772116732394,712.058594
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,35.146997928619385,,,,60.05333333333334,1.9000000000000008,1,366.5946946576087,712.042969
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,32.484204053878784,,,,60.05333333333334,1.9000000000000008,1,358.63483441520464,704.023438
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,32.0813889503479,,,,60.05333333333334,1.9000000000000008,1,356.88445355029586,712.257812
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,33.24780583381653,,,,60.05333333333334,1.9000000000000008,1,365.93416495415477,712.257812
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,34.141512393951416,,,,59.74000000000001,1.9000000000000008,1,370.4158410279329,703.535156
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,32.29607152938843,,,,60.05333333333334,1.9000000000000008,1,360.21737143235293,703.5
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,32.4430730342865,,,,60.05333333333334,1.9000000000000008,1,360.45481513450284,703.71875
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,32.37401294708252,,,,60.05333333333334,1.9000000000000008,1,357.33556053801163,703.859375
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,32.58803153038025,,,,60.05333333333334,1.9000000000000008,1,357.4576350262391,703.679688
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,33.76688528060913,,,,60.05333333333334,1.9000000000000008,1,357.0603480225989,703.34375
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,34.10802626609802,,,,59.74000000000001,1.9000000000000008,1,369.105936637883,703.472656
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,34.25416564941406,,,,60.05333333333334,1.9000000000000008,1,369.45631495,712.039062
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,34.60440731048584,,,,60.05333333333334,1.9000000000000008,1,371.7387114077134,703.601562
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,32.45490646362305,,,,60.05333333333334,1.9000000000000008,1,354.255418234604,711.945312
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,32.34326982498169,,,,60.05333333333334,1.9000000000000008,1,356.1717487882353,712.296875
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,32.38333487510681,,,,60.05333333333334,1.9000000000000008,1,354.61149391788854,712.253906
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,33.88259148597717,,,,60.05333333333334,1.9000000000000008,1,367.5983563305322,712.082031
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,32.68259167671204,,,,60.05333333333334,1.9000000000000008,1,356.6789609011628,703.660156
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,33.77062463760376,,,,60.05333333333334,1.9000000000000008,1,364.86824398873233,712.128906
