nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,43.79274702072144,,,256.70500000000004,60.28,,2,416.9444643464912,901.09375
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,44.0977635383606,,,256.70500000000004,60.28,,2,417.2310046971677,901.246094
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,44.356369733810425,,,256.70500000000004,60.08500000000001,,2,417.1596223709327,900.648438
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,44.5303430557251,,,256.70500000000004,60.23,,1,423.6744226976242,899.714844
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,43.42810845375061,,,256.70500000000004,60.28,,1,424.15924026991155,899.632812
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,44.15153622627258,,,256.70500000000004,60.23,,1,424.05826197167755,899.347656
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,44.22331738471985,,,256.70500000000004,60.23,,1,425.48024797608696,899.566406
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,44.3593270778656,,,256.70500000000004,60.23,,1,424.30423096753253,899.410156
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,44.09577369689941,,,256.70500000000004,60.23,,1,419.64409712854024,900.957031
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,43.76469016075134,,,256.70500000000004,60.28,,2,417.6281097171053,900.726562
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,43.8235080242157,,,256.70500000000004,60.13806451612903,,2,418.415861506579,901.210938
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,44.34817719459534,,,256.70500000000004,60.23,,2,418.60956988286335,900.660156
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,44.791255235672,,,256.70500000000004,60.23,,1,422.2658176072961,899.5
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,44.042442321777344,,,256.70500000000004,60.28,,2,416.2015929934641,900.539062
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,43.94657945632935,,,256.70500000000004,60.08500000000001,,1,422.21109942794754,899.726562
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,44.11294174194336,,,256.70500000000004,60.28,,1,424.6201067690633,899.503906
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,43.84274077415466,,,256.70500000000004,60.23,,2,416.2218272757112,900.914062
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,44.27019190788269,,,256.70500000000004,60.13806451612903,,2,416.63143142950105,900.855469
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,43.761717081069946,,,256.70500000000004,60.13806451612903,,1,421.4506065811404,899.847656
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,43.47417736053467,,,256.70500000000004,60.23,,1,423.075417593819,899.195312
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,44.46833825111389,,,256.70500000000004,60.23,,1,422.30750516630667,899.835938
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,44.04671335220337,,,256.70500000000004,60.13806451612903,,1,417.3910250261438,900.457031
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,44.28118944168091,,,256.70500000000004,60.23,,2,417.10354099783547,900.308594
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,43.97345161437988,,,256.70500000000004,60.23,,1,424.42399393028325,899.851562
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,44.23441934585571,,,256.70500000000004,60.28,,2,415.9891199631236,900.6875
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,44.195409059524536,,,256.70500000000004,60.23,,1,421.18087619999994,899.433594
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,43.83451819419861,,,256.70500000000004,60.23,,1,421.94089216666663,899.828125
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,44.16939163208008,,,256.70500000000004,60.28,,1,422.5840651873638,899.417969
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,44.13954567909241,,,256.70500000000004,60.13806451612903,,2,418.4430574684097,901.082031
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,44.444171667099,,,256.70500000000004,60.23,,1,421.92375616846647,899.65625
