nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,57.21339535713196,,,,,,,493.50143666949157,1123.117188
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,58.07011842727661,,,,,,,494.38009773333346,1127.5625
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,57.338202238082886,,,,,,,493.94469874324324,1127.457031
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,58.47020196914673,,,,,,,492.59975497014926,1127.316406
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,56.94744324684143,,,,,,,493.9190535843271,1127.324219
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,57.14691090583801,,,,,,,492.1520849966044,1123.015625
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,56.694756746292114,,,,,,,491.34477663481226,1127.855469
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,57.59438753128052,,,,,,,485.39910839393934,1107.722656
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,57.05284118652344,,,,,,,492.2773504812926,1127.339844
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,57.98116064071655,,,,,,,492.77458098662214,1127.617188
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,57.14701414108277,,,,,,,493.7150223050847,1127.222656
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,57.65258431434631,,,,,,,495.75163759427596,1117.617188
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,57.02160286903381,,,,,,,493.6009725636673,1127.453125
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,57.72891092300415,,,,,,,492.8354584436975,1123.253906
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,57.40117049217224,,,,,,,495.2507654307433,1123.28125
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,58.207162857055664,,,,,,,485.3366862716666,1107.425781
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,57.25506234169006,,,,,,,491.867762571912,1123.234375
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,57.17632865905762,,,,,,,492.0509006542373,1123.414062
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,58.06632709503174,,,,,,,495.2749336304348,1122.839844
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,57.10693597793579,,,,,,,492.9768942190153,1123.457031
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,57.94026446342468,,,,,,,493.0600376688963,1127.792969
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,57.21849250793457,,,,,,,490.92870753389826,1123.328125
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,58.191020011901855,,,,,,,487.56707659000006,1107.304688
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,57.558693170547485,,,,,,,486.2698537609428,1107.839844
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,57.363258361816406,,,,,,,496.39979935532995,1117.550781
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,57.79839491844177,,,,,,,494.72761105536915,1123.238281
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,57.50103163719177,,,,,,,497.1601761146712,1127.808594
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,58.18333578109741,,,,,,,492.69026893677204,1123.339844
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,56.842970848083496,,,,,,,495.13269921672355,1127.714844
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,57.10669422149658,,,,,,,496.63725580135815,1117.871094
