nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,37.2776038646698,,,256.70500000000004,,1.9000000000000008,2,382.7116167314578,819.746094
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,37.52841854095459,,,256.70500000000004,,2.2,2,383.1639432010178,819.933594
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,38.9075186252594,,,256.70500000000004,,2.2,2,382.3348078946079,819.820312
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,38.4534113407135,,,256.70500000000004,,1.9000000000000008,1,389.44793932009924,807.578125
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,38.07964420318604,,,256.70500000000004,,1.9000000000000008,1,389.10363785964904,807.511719
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,37.98637342453003,,,256.70500000000004,,1.9000000000000008,1,387.8464067632242,807.046875
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,38.14741110801697,,,256.70500000000004,,1.9000000000000008,2,383.87813269423555,819.636719
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,38.291827917099,,,256.70500000000004,,1.9000000000000008,2,383.20461540897753,820.054688
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,38.59025287628174,,,256.70500000000004,,1.9000000000000008,1,389.5516900643564,807.078125
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,38.54669570922852,,,256.70500000000004,,1.9000000000000008,1,387.6091423846154,807.144531
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,37.97543430328369,,,256.70500000000004,,1.9000000000000008,2,382.7429548539042,819.769531
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,38.10534858703613,,,256.70500000000004,,1.9000000000000008,2,382.36661956390975,819.941406
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,38.09276175498962,,,256.70500000000004,,1.9000000000000008,1,386.49920672932325,807.019531
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,38.30900526046753,,,256.70500000000004,,2.2,2,381.7256272967581,819.574219
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,37.60326194763184,,,256.70500000000004,,2.2,2,382.94877358987344,820.15625
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,37.929423093795776,,,256.70500000000004,,2.2,2,383.2001532947103,819.914062
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,38.11629796028137,,,256.70500000000004,,1.9000000000000008,2,384.04446682957393,819.878906
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,38.53165030479431,,,256.70500000000004,,1.9000000000000008,2,381.4427985915842,819.664062
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,38.39022445678711,,,256.70500000000004,,1.9000000000000008,1,387.2072839253732,807.648438
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,37.8642008304596,,,256.70500000000004,,1.9000000000000008,2,381.24859282115864,819.8125
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,37.45347356796265,,,256.70500000000004,,1.9000000000000008,2,382.9050838954082,820.0625
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,39.00330185890198,,,256.70500000000004,,1.9000000000000008,1,388.5671148137255,807.332031
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,37.73913526535034,,,256.70500000000004,,1.9000000000000008,2,383.3993173645569,819.96875
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,38.4508547782898,,,256.70500000000004,,1.9000000000000008,2,382.06750167493794,820.191406
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,38.32626938819885,,,256.70500000000004,,1.9000000000000008,1,386.55241755860345,807.480469
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,38.71972417831421,,,256.70500000000004,,1.875,2,382.1382523975309,820.101562
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,37.96404886245728,,,256.70500000000004,,1.9000000000000008,1,386.35960134005035,806.96875
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,37.71304750442505,,,256.70500000000004,,1.9000000000000008,2,382.7617285088607,819.652344
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,37.58780002593994,,,256.70500000000004,,1.9000000000000008,2,381.89043680456854,819.886719
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,38.10011267662048,,,256.70500000000004,,1.9000000000000008,1,387.05794756641603,807.285156
