nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,56.83383107185364,,,260.425,60.23,1.875,1,504.7691446535836,1107.453125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,56.873260736465454,,,256.70500000000004,60.053333333333335,1.875,1,502.4763232687074,1123.097656
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,57.26867842674256,,,256.70500000000004,60.28,1.875,1,512.4976296033899,1118.042969
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,57.93010091781616,,,256.70500000000004,60.23,1.8181818181818183,1,516.2458974455611,1127.976562
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,58.125093936920166,,,300.10625,60.08500000000001,1.875,1,505.2716374323873,1107.929688
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,57.73899006843567,,,291.0,60.28,1.875,1,505.89164883193274,1111.257812
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,58.13938760757446,,,256.70500000000004,60.23,1.818181818181756,1,520.307739806344,1117.816406
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,58.61638307571411,,,280.612857142857,60.23,1.8181818181818183,1,515.2197996069651,1114.117188
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,59.28502511978149,,,280.612857142857,60.23,1.8181818181818183,1,511.2745902131147,1123.828125
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,57.94155716896057,,,256.70500000000004,60.28,1.875,1,513.5053350201342,1127.878906
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,57.58447027206421,,,256.70500000000004,60.28,1.875,1,514.3845514468802,1118.0
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,57.34727644920349,,,256.70500000000004,60.13806451612903,1.875,1,512.1131422436548,1118.070312
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,58.164774656295776,,,256.70500000000004,60.053333333333335,1.875,1,507.6320638466667,1127.808594
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,59.62512922286987,,,256.70500000000004,60.23,1.875,1,510.90237549592166,1117.667969
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,57.21778702735901,,,260.165,60.13806451612903,1.875,1,507.2792274363328,1123.363281
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,60.05676078796387,,,256.70500000000004,60.28,1.8181818181818183,1,517.4271465711975,1127.992188
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,58.13481426239014,,,256.70500000000004,60.23,1.875,1,511.55447865217394,1127.699219
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,58.04916071891785,,,277.724523809524,60.08500000000001,1.875,1,519.0399966120401,1123.585938
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,58.275535583496094,,,260.165,60.13806451612903,1.875,1,508.8787240583333,1123.851562
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,57.73551726341248,,,256.70500000000004,60.23,1.875,1,513.4631959142857,1127.808594
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,56.87039804458618,,,260.165,60.08500000000001,1.875,1,497.4437593105802,1123.746094
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,57.37583804130554,,,256.70500000000004,60.13806451612903,1.818181818181756,1,521.5795793316413,1117.792969
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,59.40700030326843,,,256.70500000000004,60.23,1.875,1,518.0921837168576,1128.03125
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,58.80666184425354,,,277.724523809524,60.23,1.875,1,517.2476174628099,1123.152344
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,57.13137912750244,,,256.70500000000004,60.28,1.875,1,509.5648980629251,1127.933594
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,56.29946899414063,,,256.70500000000004,60.28,1.875,1,498.7743938155172,1123.535156
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,57.4482045173645,,,256.70500000000004,60.28,1.875,1,510.90549777027036,1118.027344
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,58.19379377365112,,,256.70500000000004,60.13806451612903,1.875,1,511.29986811519206,1127.621094
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,56.73593783378601,,,260.165,60.28,1.875,1,503.01149808561644,1123.226562
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,58.44912552833557,,,291.0,60.13806451612903,1.875,1,508.2839039152824,1123.59375
