nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,31.73027992248535,,,,60.28,1.875,1,354.26366021556885,703.640625
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,31.707045316696167,,,,60.28,1.875,1,353.4204055522388,712.011719
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,31.75881338119507,,,,60.28,1.875,1,353.6110591946108,711.84375
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,31.625075340271,,,,60.28,1.818181818181756,1,353.8377323753754,711.929688
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,31.50420999526977,,,,60.28,1.875,1,351.9674635709969,703.722656
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,31.639737844467163,,,,60.28,1.875,1,353.2863880300301,712.09375
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,31.56825947761536,,,,60.28,1.818181818181756,1,352.70541225525517,712.175781
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,31.38417172431945,,,,60.28,1.818181818181756,1,353.52649396978853,711.777344
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,31.91482710838318,,,,60.28,1.818181818181756,1,353.7222492232143,703.441406
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,31.26446938514709,,,,60.28,1.875,1,352.83321505454546,712.222656
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,32.11046314239502,,,,60.28,1.875,1,352.15827239940825,711.882812
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,31.647801876068115,,,,60.28,1.875,1,351.9364208798799,703.277344
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,31.613192081451416,,,,60.28,1.875,1,353.9924222072072,712.242188
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,31.56725645065308,,,,60.08500000000001,1.875,1,352.4494658313253,703.414062
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,31.57470989227295,,,,60.28,1.875,1,352.2195688532935,703.882812
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,31.969353199005127,,,,60.28,1.818181818181756,1,352.61007030860526,703.417969
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,31.819018840789795,,,,60.28,1.875,1,354.2770408417911,712.117188
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,31.149184703826904,,,,60.28,1.875,1,352.03219996048637,711.832031
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,31.11340570449829,,,,60.28,1.875,1,349.59395261585365,703.3125
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,31.525686502456665,,,,60.28,1.875,1,353.95229206606604,711.769531
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,32.07621669769287,,,,60.28,1.875,1,353.2440883442136,711.703125
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,31.39228820800781,,,,60.28,1.818181818181756,1,352.8884771450151,711.714844
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,35.303916454315186,,,,60.28,1.875,1,360.0611065,712.304688
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,31.814696073532104,,,,60.28,1.875,1,351.71099589285717,703.289062
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,31.467883110046387,,,,60.28,1.875,1,352.762863407855,711.902344
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,32.951472759246826,,,,60.28,1.875,1,353.13335289625354,703.722656
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,31.617865085601807,,,,60.28,1.875,1,353.3708014520958,711.96875
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,31.57628273963928,,,,60.28,1.875,1,350.507836015015,703.445312
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,31.6813280582428,,,,60.28,1.875,1,352.3514924131736,711.875
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,31.68773603439331,,,,60.28,1.875,1,353.6396542035928,712.113281
