nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,38.72928738594055,,,256.70500000000004,,1.875,1,390.25605188916256,807.328125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,37.94051742553711,,,256.70500000000004,,1.875,1,389.6272830352645,807.179688
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,38.37148642539978,,,256.70500000000004,,1.875,1,388.66603981296765,807.328125
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,38.364150047302246,,,291.0,,1.8181818181818183,1,386.228261515,819.75
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,38.88351488113403,,,291.0,,1.875,1,387.0184609111111,820.269531
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,38.24606680870056,,,291.0,,1.875,1,386.19381477192985,819.546875
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,37.90804672241211,,,256.70500000000004,,1.8181818181818183,1,390.29964000000007,806.894531
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,38.20310091972351,,,256.70500000000004,,1.8181818181818183,1,389.14757590225565,807.144531
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,38.81757974624634,,,303.55892857142857,,1.8181818181818183,1,386.8720102617284,819.925781
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,38.70441699028015,,,291.0,,1.875,1,386.15930537871293,820.019531
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,38.37522220611572,,,300.10625,,1.875,1,384.01756322942646,819.582031
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,38.54763984680176,,,291.0,,1.875,1,384.09972084119113,819.773438
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,37.92036986351013,,,256.70500000000004,,1.875,1,386.8708768737374,820.066406
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,38.38994789123535,,,256.70500000000004,,1.875,1,384.87624687531167,820.09375
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,38.529608488082886,,,260.425,,1.875,1,387.31569689552236,819.730469
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,37.59141039848328,,,256.70500000000004,,1.8181818181818183,1,388.77982247969544,807.207031
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,38.0337986946106,,,291.0,,1.875,1,386.2768715465995,819.945312
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,37.70661211013794,,,291.0,,1.875,1,384.00767400506334,819.707031
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,38.05192542076111,,,256.70500000000004,,1.875,1,388.81226425376883,806.976562
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,38.28727436065674,,,260.165,,1.875,1,386.134384865,819.863281
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,38.41215252876282,,,256.70500000000004,,1.875,1,390.2914197481296,807.296875
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,37.99403119087219,,,256.70500000000004,,1.8181818181818183,1,389.9815905541562,806.894531
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,38.05761790275574,,,256.70500000000004,,1.875,1,390.92115679848865,807.070312
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,38.51688528060913,,,291.0,,1.875,1,386.9271222960199,819.671875
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,38.06814432144165,,,256.70500000000004,,1.875,1,388.64757385175886,807.277344
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,37.84768867492676,,,256.70500000000004,,1.875,1,386.8244757848101,820.226562
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,38.6984441280365,,,256.70500000000004,,1.875,1,385.31905540099007,820.078125
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,38.369762897491455,,,256.70500000000004,,1.875,1,390.5647893366584,807.503906
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,37.786380767822266,,,256.70500000000004,,1.875,1,389.0867783518988,807.035156
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,37.69935727119446,,,256.70500000000004,,1.875,1,389.6055779162436,807.421875
