nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,35.219998598098755,,,,82.74,64.6,1,377.06263767208674,781.71875
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,35.24879813194275,,,,82.74,65.03,1,378.70478248918914,781.84375
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,35.05110287666321,,,,82.74,65.11702127659575,1,377.116879472826,761.773438
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,36.95421552658081,,,,82.74,5.691111111111111,1,394.0464599533679,761.890625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,36.48136496543884,,,,82.74,5.691111111111111,1,391.2212926141732,761.8125
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,35.72593855857849,,,,82.74,64.6,1,376.96761442400003,781.824219
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,37.37606525421143,,,,82.74,65.09,1,397.39697514615386,781.855469
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,37.126566886901855,,,,82.74,65.09,1,398.2377779149484,782.023438
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,37.55565094947815,,,,82.74,65.09,1,398.0517480433674,781.925781
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,34.630507469177246,,,,82.74,64.6,1,379.12730282920114,781.722656
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,35.28760099411011,,,,82.74,64.6,1,377.7643970325203,781.484375
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,36.585216760635376,,,,82.74,5.691111111111111,1,390.7275820861619,762.0625
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,35.221638679504395,,,,82.74,64.6,1,377.9123157804878,781.9375
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,35.01448941230774,,,,82.74,65.11702127659575,1,376.9313160572207,761.460938
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,35.26121687889099,,,,82.74,65.11702127659575,1,376.7684125270271,761.949219
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,35.221752882003784,,,,82.74,65.09,1,377.3383025243244,781.714844
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,36.646604776382446,,,,82.74,5.691111111111111,1,390.9729510651041,761.523438
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,36.51803517341614,,,,82.74,5.691111111111111,1,392.40486951570676,762.117188
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,36.590375661849976,,,,82.74,6.016,1,391.3602904348959,761.726562
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,35.27163529396057,,,,82.74,65.11702127659575,1,378.5852495094851,761.816406
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,36.713985443115234,,,,82.74,6.016,1,392.5055335703125,766.386719
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,35.7813880443573,,,,82.74,65.09,1,381.59818874331546,761.6875
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,35.06509327888489,,,,82.74,64.6,1,379.2898714468665,781.777344
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,37.49764966964722,,,,82.74,5.691111111111111,1,393.6969367729592,761.625
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,35.005125284194946,,,,82.74,65.03,1,378.16589838797813,781.585938
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,36.35663104057312,,,,82.74,65.03,1,379.41703551706036,781.832031
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,35.260331869125366,,,,82.74,65.03,1,379.1178968590786,782.039062
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,34.904545307159424,,,,82.74,64.6,1,376.6939568032787,781.683594
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,35.072606325149536,,,,82.74,65.03,1,378.8043468310627,781.746094
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,35.20629382133484,,,,82.74,64.6,1,377.2527945826558,781.632812
