nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,42.40977025032044,,,289.3963636363637,82.74,5.691111111111111,1,426.93955480952377,902.617188
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,41.65145349502564,,,250.87,82.74,6.016,1,426.981647797235,902.492188
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,42.674325466156006,,,250.87,82.74,5.71,2,429.39835806094806,902.761719
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,42.82695436477661,,,300.95000000000005,82.74,6.016,1,429.9316404439461,900.066406
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,42.81054425239563,,,250.87,82.74,6.016,1,436.8320839573034,902.386719
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,42.64934706687927,,,312.97,82.74,5.691111111111111,1,426.3281336629214,902.277344
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,42.48363637924194,,,303.865,82.74,5.71,1,430.2515997036199,902.449219
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,42.97050094604492,,,300.95000000000005,82.74,5.71,1,429.78615224384794,893.507812
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,43.47181820869446,,,300.95000000000005,82.74,5.691111111111111,1,429.07065794690266,899.972656
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,43.31383919715881,,,300.95000000000005,82.74,6.016,1,432.6499531862528,902.523438
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,42.76615762710571,,,308.52,82.74,5.71,1,426.80580241123596,902.617188
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,42.73797845840454,,,289.3963636363637,82.74,5.71,1,427.46141247747744,902.3125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,42.213711738586426,,,289.3963636363637,82.74,5.691111111111111,1,428.47873385649206,902.71875
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,42.69960069656372,,,250.87,82.74,6.016,1,429.41167821846847,900.074219
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,41.85663485527039,,,250.87,82.74,5.691111111111111,2,427.68432486757985,902.613281
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,42.8328173160553,,,300.95000000000005,82.74,5.71,1,431.27753712134836,900.054688
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,42.95569086074829,,,262.0,82.74,5.691111111111111,1,426.01111587024616,902.539062
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,42.67871689796448,,,306.755,82.74,5.691111111111111,1,435.99513453603606,902.703125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,42.43619155883789,,,300.95000000000005,82.74,5.71,1,424.9769776923076,893.738281
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,43.65575051307678,,,250.87,82.74,6.016,1,434.683576602649,902.304688
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,42.44060254096985,,,308.52,82.74,5.71,1,424.8255769548533,902.574219
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,42.71961855888367,,,312.97,82.74,5.691111111111111,1,423.8210601193693,902.265625
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,42.76671552658081,,,262.0,82.74,5.691111111111111,1,428.0019224764044,902.339844
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,42.55898833274841,,,300.56,82.74,5.71,1,429.9675479502262,902.101562
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,42.6675705909729,,,250.87,82.74,6.016,1,426.3517298558559,902.835938
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,42.07520818710327,,,250.87,82.74,5.71,1,423.4788505171624,902.65625
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,43.080756187438965,,,250.87,82.74,5.766666666666666,1,431.69534749330353,902.261719
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,42.91525173187256,,,312.97,82.74,6.016,1,435.64167604708524,902.507812
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,43.01898288726807,,,250.87,82.74,6.016,1,427.20921125,900.4375
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,42.58330059051514,,,308.52,82.74,5.691111111111111,1,427.022793778781,902.707031
