nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,45.90133094787598,,,250.87,88.97,5.691111111111111,1,436.0888691656184,902.121094
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,45.57871222496033,,,250.87,88.97,5.691111111111111,1,408.6587669142259,902.269531
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,43.39712738990784,,,250.87,88.97,5.766666666666666,1,424.9684386393805,902.042969
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,42.94334578514099,,,250.87,88.97,6.016,1,425.980608442953,902.679688
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,42.928203105926514,,,250.87,88.97,5.691111111111111,1,426.305395261745,902.339844
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,43.23055338859558,,,250.87,88.97,5.71,1,424.4944393348115,902.585938
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,44.11104536056519,,,250.87,89.00200000000001,5.691111111111111,1,422.4671891855895,893.585938
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,44.21935153007507,,,250.87,89.00200000000001,5.691111111111111,1,423.4943914705882,893.394531
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,44.04392170906067,,,250.87,88.97,5.691111111111111,1,426.16224600873363,902.351562
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,43.68100142478943,,,250.87,88.97,5.691111111111111,1,426.1835249207049,902.117188
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,44.19023871421814,,,250.87,88.9075,5.691111111111111,1,428.1986486840959,900.078125
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,44.52493238449097,,,250.87,89.00200000000001,5.691111111111111,1,431.5780658077754,902.359375
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,43.07163763046265,,,250.87,88.97,5.71,1,422.7585537232143,902.105469
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,43.06431722640991,,,250.87,88.97,5.691111111111111,1,426.14266548660714,902.34375
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,43.455190658569336,,,250.87,88.97,5.691111111111111,1,421.60312167405766,902.511719
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,43.848077058792114,,,250.87,88.815,5.71,1,434.37771523464903,902.773438
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,43.07298183441162,,,250.87,88.97,5.691111111111111,1,423.5296805178572,902.597656
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,43.51828670501709,,,250.87,88.9075,5.691111111111111,1,422.4730710907079,893.8125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,43.712613344192505,,,250.87,88.97,5.71,1,424.62248750220266,902.453125
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,43.583092212677,,,250.87,88.97,5.71,1,422.3675927240618,902.039062
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,43.29118514060974,,,250.87,88.97,5.71,1,423.42347200444436,902.195312
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,45.666473150253296,,,250.87,88.815,5.691111111111111,1,432.5204706392405,899.773438
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,42.76891779899597,,,250.87,88.97,5.691111111111111,1,423.08070600674165,902.566406
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,45.42280411720276,,,250.87,88.815,5.691111111111111,1,429.52188676645443,899.953125
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,44.50391864776611,,,250.87,88.94132075471698,6.016,1,429.7014424848485,902.632812
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,44.10643577575684,,,250.87,88.97,5.691111111111111,1,427.05849159388646,902.738281
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,43.29153871536255,,,250.87,88.97,5.71,1,423.03258676666667,902.136719
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,43.17954969406128,,,250.87,88.9075,5.691111111111111,1,421.9149499933185,902.535156
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,43.95183944702149,,,250.87,88.815,5.691111111111111,1,425.4150882210065,900.089844
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,42.83422756195069,,,250.87,88.97,5.691111111111111,1,422.8742539977528,902.238281
