nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,55.41078734397888,,,,,,,494.0327112412587,1127.527344
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,55.614624977111816,,,,,,,493.62559875609765,1118.117188
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,55.26567792892456,,,,,,,489.211245206655,1107.96875
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,55.78480315208435,,,,,,,492.33118359895826,1127.78125
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,55.35209774971008,,,,,,,491.61173791608394,1122.773438
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,54.94829249382019,,,,,,,494.26870441622583,1127.53125
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,54.54378008842468,,,,,,,485.6039005364121,1108.101562
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,54.95448446273804,,,,,,,493.2197417671958,1118.320312
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,55.03829288482666,,,,,,,490.961948387324,1117.332031
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,55.159812450408936,,,,,,,493.2320135694201,1127.660156
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,55.7198326587677,,,,,,,492.79037584843195,1123.445312
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,54.32821846008301,,,,,,,492.8701676969697,1127.519531
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,55.42444443702698,,,,,,,494.10102959265737,1127.851562
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,55.97278571128845,,,,,,,492.0290497608319,1123.996094
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,55.45059370994568,,,,,,,494.70763329422067,1127.382812
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,55.551661014556885,,,,,,,494.25839854275745,1118.0
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,55.913668155670166,,,,,,,494.212291592721,1118.113281
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,54.71494698524475,,,,,,,491.30345657345134,1123.507812
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,55.16387343406677,,,,,,,493.92974247803164,1127.726562
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,55.668906688690186,,,,,,,489.19750348083613,1123.566406
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,55.01122283935547,,,,,,,488.388775149648,1123.265625
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,55.37540888786316,,,,,,,487.02366999299477,1108.003906
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,56.305235385894775,,,,,,,487.8732248743546,1107.5625
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,54.31853127479553,,,,,,,491.02391792513373,1127.574219
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,56.99553561210632,,,,,,,489.03412485689944,1107.84375
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,54.60856080055237,,,,,,,496.11526897695035,1118.0
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,55.28623127937317,,,,,,,493.9792695491229,1127.929688
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,55.74820399284363,,,,,,,488.68815330313583,1123.679688
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,55.19278168678284,,,,,,,495.49541528421054,1117.710938
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,55.61315965652466,,,,,,,494.156950641115,1127.613281
