nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,32.675551414489746,,,,60.05333333333334,1.9000000000000008,1,360.71455987499996,712.152344
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,31.880391597747803,,,,60.05333333333334,1.9000000000000008,1,356.6307485820895,703.464844
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,32.20651340484619,,,,60.05333333333334,1.9000000000000008,1,357.9641983893805,712.066406
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,32.69286298751831,,,,60.05333333333334,1.9000000000000008,1,360.8755223313953,711.800781
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,32.76599168777466,,,,60.05333333333334,1.9000000000000008,1,362.1008944434783,712.378906
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,32.53159999847412,,,,60.05333333333334,1.9000000000000008,1,362.1373126491228,712.429688
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,32.42373728752136,,,,59.74000000000001,1.9000000000000008,1,358.04503599122813,703.46875
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,32.39625644683838,,,,59.74000000000001,1.9000000000000008,1,362.4832066363636,712.234375
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,32.72281217575073,,,,59.74000000000001,1.9000000000000008,1,357.83036203488376,703.847656
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,31.95946216583252,,,,60.05333333333334,1.9000000000000008,1,356.1398601988131,703.476562
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,32.44821310043335,,,,60.05333333333334,1.9000000000000008,1,359.7118997360704,711.851562
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,32.6338906288147,,,,60.05333333333334,1.9000000000000008,1,360.68739798837214,711.972656
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,32.5792772769928,,,,60.05333333333334,1.9000000000000008,1,360.1251827076024,712.179688
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,33.25910925865173,,,,60.05333333333334,1.9000000000000008,1,356.49598145845266,703.65625
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,32.848366022109985,,,,60.05333333333334,1.9000000000000008,1,363.106295173913,703.589844
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,32.34372663497925,,,,59.74000000000001,2.2,1,359.15828922287386,712.210938
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,31.6980938911438,,,,60.05333333333334,1.9000000000000008,1,356.47667975449104,703.816406
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,32.221373081207275,,,,60.05333333333334,1.9000000000000008,1,361.56994379941,712.152344
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,32.73651123046875,,,,60.05333333333334,1.9000000000000008,1,359.9078172005814,712.027344
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,32.4758415222168,,,,60.05333333333334,1.9000000000000008,1,359.55694891520466,712.152344
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,32.898515939712524,,,,60.05333333333334,1.9000000000000008,1,359.4686031502891,712.125
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,32.177046060562134,,,,59.74000000000001,1.9000000000000008,1,356.75766313235295,703.363281
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,32.47936487197876,,,,60.05333333333334,1.9000000000000008,1,362.3903156158358,712.273438
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,32.953299045562744,,,,60.05333333333334,1.9000000000000008,1,360.647082849711,712.523438
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,32.026464223861694,,,,60.05333333333334,1.9000000000000008,1,357.087397694362,712.035156
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,32.314390420913696,,,,60.05333333333334,1.9000000000000008,1,358.2433561290323,712.125
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,32.28909373283386,,,,60.053333333333335,1.9000000000000008,1,353.50513537647055,703.515625
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,32.71499991416931,,,,60.05333333333334,1.9000000000000008,1,361.52096222674425,712.550781
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,32.07958126068115,,,,60.05333333333334,1.9000000000000008,1,359.2267359112426,711.914062
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,32.603400230407715,,,,60.05333333333334,1.9000000000000008,1,357.8834729620991,703.496094
