nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,57.21406126022339,,,,,,,494.84971554745766,1127.988281
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,57.654375076293945,,,,,,,488.9148369949579,1108.238281
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,57.722280979156494,,,,,,,495.02828876470585,1127.914062
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,58.49437856674194,,,,,,,494.03012925207287,1127.75
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,57.58428645133972,,,,,,,492.1095330050505,1123.71875
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,58.19989323616028,,,,,,,488.303645985,1107.714844
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,56.84745740890503,,,,,,,486.4189203730835,1123.53125
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,57.28038120269776,,,,,,,486.63635517089676,1123.722656
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,57.065866231918335,,,,,,,492.5564117623089,1117.8125
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,57.235146045684814,,,,,,,487.6076007322033,1107.816406
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,57.85755753517151,,,,,,,493.1861586934673,1127.910156
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,57.37504005432129,,,,,,,487.9731716497462,1123.371094
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,57.87278699874878,,,,,,,493.40577901005014,1123.136719
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,57.02481698989868,,,,,,,497.4242732653061,1117.667969
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,58.29987692832947,,,,,,,493.04046427242525,1127.359375
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,57.26193118095398,,,,,,,493.16655844406773,1117.886719
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,57.27414512634277,,,,,,,492.083159410473,1123.457031
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,56.84189748764038,,,,,,,495.29044239931744,1118.121094
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,56.658416509628296,,,,,,,489.7236780153846,1123.648438
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,57.07903480529785,,,,,,,488.0434131850594,1107.574219
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,57.70773196220398,,,,,,,489.47753418823527,1123.539062
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,56.71534490585327,,,,,,,491.7424475051194,1127.605469
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,57.61500716209412,,,,,,,493.1538824023568,1123.433594
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,57.16873908042908,,,,,,,492.9547166061121,1127.980469
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,57.80512022972107,,,,,,,497.0224215151007,1117.976562
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,57.50928211212158,,,,,,,497.3760127255892,1118.15625
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,58.05006766319275,,,,,,,494.13860336227043,1127.722656
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,56.68347907066345,,,,,,,495.9073385965813,1117.863281
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,58.0796320438385,,,,,,,489.57834670116864,1123.535156
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,56.98054194450378,,,,,,,494.19017057142855,1123.246094
