nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,37.8092737197876,,,256.70500000000004,,1.9000000000000008,1,383.16572949747473,819.96875
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,38.068978786468506,,,256.70500000000004,,10.425,8,382.5367812230576,819.933594
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,37.89625644683838,,,256.70500000000004,,1.9000000000000008,2,385.4805568492461,819.832031
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,38.53791832923889,,,256.70500000000004,,1.9000000000000008,2,386.0685678883375,820.34375
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,39.40455961227417,,,256.70500000000004,,1.9000000000000008,2,397.2544087936893,807.402344
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,38.58418321609497,,,256.70500000000004,,2.2,2,383.9687016014851,819.710938
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,38.59045338630676,,,256.70500000000004,,1.9000000000000008,2,383.17249384901,819.984375
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,38.05048060417175,,,256.70500000000004,,1.9000000000000008,2,385.8036469195979,819.589844
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,38.93420767784119,,,256.70500000000004,,1.9000000000000008,2,399.46300102702696,807.046875
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,39.37561821937561,,,256.70500000000004,,1.9000000000000008,2,399.2632776131387,807.074219
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,39.11001396179199,,,256.70500000000004,,1.9000000000000008,2,397.1441962794118,807.421875
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,39.275529623031616,,,256.70500000000004,,1.9000000000000008,2,396.37445828710463,807.320312
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,38.3303210735321,,,256.70500000000004,,1.9000000000000008,2,385.9826550945274,807.164062
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,38.27805161476135,,,256.70500000000004,,10.425,8,381.33058940399,819.722656
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,38.64352226257324,,,256.70500000000004,,1.9000000000000008,2,385.49421785643557,820.074219
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,38.29612421989441,,,256.70500000000004,,1.9000000000000008,1,391.10670591022443,807.375
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,38.46630048751831,,,256.70500000000004,,1.9000000000000008,2,383.02927248635234,819.640625
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,39.12053298950195,,,256.70500000000004,,1.9000000000000008,2,400.3474462469438,807.304688
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,39.00736737251282,,,256.70500000000004,,1.9000000000000008,2,392.829949215159,807.335938
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,37.81803297996521,,,256.70500000000004,,1.9000000000000008,2,383.79111900503784,819.820312
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,38.11189556121826,,,256.70500000000004,,1.9000000000000008,2,383.4151296190476,819.996094
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,38.42607498168945,,,256.70500000000004,,1.9000000000000008,1,390.1517605820896,807.136719
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,38.55206203460693,,,256.70500000000004,,1.9000000000000008,2,384.2469176699752,819.738281
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,39.16591238975525,,,256.70500000000004,,1.9000000000000008,2,384.9001756136919,819.65625
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,37.468225955963135,,,256.70500000000004,,147.20487804878042,75,383.20640493893126,819.921875
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,38.21859335899353,,,256.70500000000004,,147.20487804878042,75,382.592832075,819.78125
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,38.264100313186646,,,256.70500000000004,,143.75,75,386.91367199250004,807.183594
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,37.86153221130371,,,256.70500000000004,,1.9000000000000008,2,384.65863713888893,819.710938
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,38.51920104026794,,,256.70500000000004,,1.9000000000000008,2,384.5338671240695,820.289062
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,38.57829427719116,,,256.70500000000004,,1.9000000000000008,2,384.9115291014851,820.03125
