nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,32.707661390304565,,,,60.23,1.875,1,361.3816202616279,711.828125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,32.62485361099243,,,,60.25,1.875,1,354.87716242028984,706.4375
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,32.34904932975769,,,,60.28,1.875,1,358.6982910322581,706.816406
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,32.35418891906738,,,,60.28,1.8181818181818183,1,358.7754079765396,706.945312
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,32.25108313560486,,,,60.13806451612903,1.875,1,357.57924292625376,706.886719
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,32.33319616317749,,,,60.28,1.875,1,358.70776687647066,707.113281
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,32.54312252998352,,,,60.23,1.8181818181818183,1,361.0291661982507,703.320312
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,32.648170709609985,,,,60.23,1.8181818181818183,1,362.3788948255814,712.472656
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,32.69714713096619,,,,60.23,1.8181818181818183,1,363.97765237499993,711.960938
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,32.004878520965576,,,,60.28,1.875,1,359.8444108813057,707.304688
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,32.3699951171875,,,,60.23,1.875,1,358.95992941055715,711.957031
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,32.701655864715576,,,,60.23,1.875,1,359.3376130521739,712.179688
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,32.308993339538574,,,,60.23,1.875,1,360.6807213294117,711.90625
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,31.71253061294556,,,,60.053333333333335,1.875,1,357.824429473054,703.679688
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,32.434144735336304,,,,60.08500000000001,1.875,1,359.1295705630499,711.933594
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,32.7799506187439,,,,60.28,1.818181818181756,1,361.69644453623187,712.054688
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,32.56402778625488,,,,60.23,1.875,1,360.2482346268221,711.886719
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,32.009464502334595,,,,60.13806451612903,1.875,1,358.6550326617211,706.816406
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,33.1483108997345,,,,60.25,1.875,1,356.27067298280804,706.9375
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,32.5311062335968,,,,60.23,1.875,1,361.27310626608187,711.996094
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,32.62649774551392,,,,60.23,1.875,1,359.2173985610465,711.996094
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,33.151285886764526,,,,60.13806451612903,1.8181818181818183,1,363.4023660833334,712.050781
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,32.81188941001892,,,,60.23,1.875,1,361.1105751014493,712.257812
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,32.383994817733765,,,,60.13806451612903,1.875,1,359.75208451612895,706.898438
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,32.34768843650818,,,,60.23,1.875,1,358.76922204692085,712.027344
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,31.94534993171692,,,,60.23,1.875,1,358.38117807121665,711.902344
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,31.772458791732788,,,,60.28,1.875,1,357.192540497006,707.007812
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,32.687662839889526,,,,60.25,1.875,1,355.9414287674419,706.789062
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,32.54671502113342,,,,60.23,1.875,1,359.37916826239064,712.261719
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,33.76553750038147,,,,60.23,1.875,1,356.5029408174157,706.96875
