nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,56.779595136642456,,,256.70500000000004,60.08500000000001,1.875,1,503.1247862820513,1127.761719
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,56.46344995498657,,,256.70500000000004,60.28,1.875,1,496.7523383121784,1108.003906
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,57.33134937286377,,,260.425,60.28,1.875,1,499.89689085956,1107.832031
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,57.167648792266846,,,356.2593333333335,60.28,1.818181818181756,1,507.83264781833617,1118.179688
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,56.20711946487427,,,291.0,60.28,1.875,1,503.5860182797927,1123.148438
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,57.31751322746277,,,356.2593333333335,60.28,1.875,1,495.6200954703892,1107.84375
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,56.46452307701111,,,356.2593333333335,60.28,1.818181818181756,1,504.519799766323,1127.941406
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,57.71197748184204,,,356.2593333333335,60.28,1.818181818181756,1,506.7898765630253,1118.007812
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,57.261353969573975,,,356.2593333333335,60.28,1.818181818181756,1,505.48872426395945,1117.929688
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,57.86867117881775,,,291.0,60.28,1.875,1,496.99402278020136,1123.476562
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,57.1445472240448,,,256.70500000000004,60.28,1.875,1,503.19052398302205,1127.628906
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,57.39764380455017,,,291.0,60.28,1.875,1,498.96596720642975,1123.90625
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,56.93908667564392,,,256.70500000000004,60.28,1.875,1,497.8753660034072,1123.460938
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,57.21095514297485,,,256.70500000000004,60.28,1.875,1,496.02300623259765,1123.707031
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,57.78355288505554,,,260.425,60.28,1.875,1,498.6942291025209,1124.246094
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,56.616944551467896,,,306.1957142857144,60.28,1.818181818181756,1,498.30887430598295,1108.234375
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,57.41706538200378,,,356.2593333333335,60.28,1.875,1,502.44591968581085,1127.785156
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,57.5107741355896,,,356.2593333333335,60.28,1.875,1,503.5996321551433,1127.828125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,58.19235634803772,,,256.70500000000004,60.28,1.875,1,510.977818955,1118.015625
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,62.11736822128296,,,260.165,60.28,1.875,1,487.76913386384973,1123.253906
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,57.03109049797058,,,256.70500000000004,60.08500000000001,1.875,1,505.53656474999997,1117.773438
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,56.62790846824646,,,315.11285714285714,60.28,1.818181818181756,1,503.64518120754724,1123.449219
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,56.62477111816406,,,356.2593333333335,60.28,1.875,1,501.3762577414383,1127.691406
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,57.31520366668701,,,291.0,60.28,1.875,1,500.7672775076143,1123.605469
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,57.28052496910095,,,256.70500000000004,60.28,1.875,1,505.1480402966101,1117.960938
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,57.38047480583191,,,256.70500000000004,60.28,1.875,1,503.31254621658195,1118.113281
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,56.19452905654907,,,256.70500000000004,60.28,1.874999999999997,1,504.12384621416237,1127.839844
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,56.67027282714844,,,260.165,60.28,1.875,1,496.15806643589747,1123.667969
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,57.22599530220032,,,260.425,60.28,1.875,1,496.40098002033903,1107.730469
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,56.09781742095947,,,256.70500000000004,60.28,1.875,1,503.3062391416235,1118.265625
