nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,37.2112283706665,,,,,,,381.60814321794874,807.09375
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,37.440593004226685,,,,,,,376.7892813078881,819.878906
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,37.42638397216797,,,,,,,380.7107279617347,807.121094
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,37.296117544174194,,,,,,,376.3896282806122,819.410156
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,37.39772629737854,,,,,,,378.5967572608696,819.796875
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,37.306987285614014,,,,,,,381.2500898439898,807.101562
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,36.80462622642517,,,,,,,377.1083527409327,820.273438
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,37.49396204948425,,,,,,,379.72944482951647,806.816406
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,37.34719347953797,,,,,,,376.97428463682866,819.59375
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,36.94901943206787,,,,,,,378.86578821134026,807.097656
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,37.67838072776794,,,,,,,379.95382729113925,806.917969
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,37.20751118659973,,,,,,,375.34705667007665,819.570312
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,37.81257581710816,,,,,,,377.52244363727954,820.222656
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,37.69685339927673,,,,,,,380.53836058734186,807.152344
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,37.319474935531616,,,,,,,381.8097928312021,806.996094
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,36.957462310791016,,,,,,,376.9110847596899,820.101562
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,37.01279091835022,,,,,,,378.5095297377892,807.1875
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,37.51169729232788,,,,,,,376.7301407328244,820.105469
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,36.8523952960968,,,,,,,381.4090127564767,807.390625
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,37.06126093864441,,,,,,,380.3462803239074,807.046875
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,37.56970548629761,,,,,,,380.04101585532993,806.941406
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,37.33703660964966,,,,,,,380.87204306138113,807.355469
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,37.17428588867188,,,,,,,379.7468248871795,807.105469
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,37.18320655822754,,,,,,,379.3893728538461,807.433594
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,37.16860890388489,,,,,,,381.02309676666664,806.894531
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,38.18046140670776,,,,,,,378.287495952381,819.996094
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,37.80179786682129,,,,,,,380.04268248232324,807.320312
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,37.45777368545532,,,,,,,381.4207889336734,807.148438
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,37.55918836593628,,,,,,,381.82724230203036,806.972656
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,37.81558418273926,,,,,,,378.54700348232336,819.933594
