nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,42.777095079422,,,,,,,409.1405197101124,899.875
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,42.14072299003601,,,,,,,417.9629792181818,902.476562
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,42.32596254348755,,,,,,,413.90760501133786,902.226562
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,43.41109681129456,,,,,,,414.3094214172185,899.984375
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,42.09294009208679,,,,,,,409.1319581936218,902.441406
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,40.45874977111816,,,,,,,411.50458058156033,902.503906
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,40.36399984359741,,,,,,,414.7160406698337,902.355469
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,41.0319230556488,,,,,,,412.81033205152227,902.574219
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,40.878653049468994,,,,,,,412.6503173192488,902.304688
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,42.26711106300354,,,,,,,420.30184020273344,902.578125
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,40.69688081741333,,,,,,,413.3027114564706,902.4375
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,50.07900547981262,,,,,,,400.07578870769237,902.59375
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,40.82954430580139,,,,,,,414.97730500469476,902.597656
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,42.74685716629028,,,,,,,417.75860266067417,902.46875
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,40.59766244888306,,,,,,,414.31203933490565,902.609375
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,40.87768077850342,,,,,,,407.74477365967374,893.320312
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,41.152358293533325,,,,,,,413.85264587645685,902.390625
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,41.08718228340149,,,,,,,409.81146190209796,899.832031
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,40.88838577270508,,,,,,,410.0409790327103,893.289062
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,40.99716401100159,,,,,,,415.5244936550117,902.527344
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,41.04402256011963,,,,,,,410.4536337465116,893.421875
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,41.3019905090332,,,,,,,408.4722673449075,899.945312
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,40.41385126113892,,,,,,,413.49671256264776,902.613281
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,40.09458470344544,,,,,,,407.65715197142856,899.910156
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,40.90241456031799,,,,,,,412.00600091100694,893.457031
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,41.10006928443909,,,,,,,416.4391988837209,902.554688
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,42.499863624572754,,,,,,,414.9024760496614,902.289062
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,40.91681337356568,,,,,,,413.3468876791568,902.40625
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,41.1551992893219,,,,,,,416.11091403496505,902.191406
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,40.71429133415222,,,,,,,409.56905296962617,899.992188
