nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,24.358896017074585,,,250.87,82.828,,1,304.141822440613,587.355469
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,24.447629928588867,,,250.87,82.828,,1,303.49879219465646,587.308594
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,24.228169918060303,,,250.87,82.828,,1,305.0025789652509,587.4375
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,24.610668897628784,,,250.87,82.828,,1,304.305471560606,587.246094
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,24.6731173992157,,,250.87,82.828,,1,303.554924030303,587.058594
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,24.93134379386902,,,250.87,82.76,,1,305.6703388614232,580.195312
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,25.74053120613098,,,250.87,82.828,,1,314.7913148613139,634.605469
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,25.452204704284668,,,250.87,82.828,,1,314.24378148161765,634.820312
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,25.93714189529419,,,250.87,82.828,,1,314.1643315326087,634.367188
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,24.409792184829712,,,250.87,82.828,,1,306.39484556704986,580.164062
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,24.61897587776184,,,250.87,82.828,,1,304.69055963117876,587.273438
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,24.964526414871216,,,250.87,82.828,,1,306.64786458270675,580.089844
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,24.823318481445312,,,250.87,82.828,,1,306.8102741773585,580.046875
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,24.864681005477905,,,250.87,82.828,,1,308.86474968045115,580.054688
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,24.56347751617432,,,250.87,82.828,,1,308.550261444867,580.378906
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,24.64600253105164,,,250.87,82.828,,1,312.94612925095055,634.730469
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,25.46134328842163,,,250.87,82.828,,1,304.28597484191175,586.929688
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,24.834949254989624,,,250.87,82.76,,1,306.1545317631579,580.304688
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,24.73445415496826,,,250.87,82.828,,1,303.5996314566038,587.472656
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,24.71239686012268,,,250.87,82.828,,1,305.9896275568181,580.4375
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,24.63679075241089,,,250.87,82.828,,1,305.854533174905,580.027344
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,24.947051286697388,,,250.87,82.828,,1,306.01101379699253,587.0625
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,25.21305632591248,,,250.87,82.91000000000001,,1,307.40643908550186,580.71875
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,24.80314612388611,,,250.87,82.828,,1,305.9773586528302,587.042969
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,24.71711039543152,,,250.87,82.828,,1,306.83166143560607,580.164062
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,24.348525762557983,,,250.87,82.828,,1,304.8134132068966,587.417969
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,24.608178853988647,,,250.87,82.828,,1,306.3199264904943,579.964844
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,24.40470314025879,,,250.87,82.828,,1,305.8183739885496,579.882812
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,25.062079668045044,,,250.87,82.828,,1,305.4671029216418,580.238281
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,24.730554342269897,,,250.87,82.828,,1,303.6415868674242,587.238281
