nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,26.29232168197632,,,250.87,,5.71,1,315.4482145071429,620.726562
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,26.2700469493866,,,250.87,,5.71,1,315.35727478494624,616.503906
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,26.20303440093994,,,250.87,,5.71,1,314.81041378853047,616.910156
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,25.906719207763672,,,250.87,,5.691111111111111,1,313.97039172101455,616.4375
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,26.1340491771698,,,250.87,,5.691111111111111,1,316.23945703225803,620.738281
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,25.73327398300171,,,250.87,,5.691111111111111,1,317.4663262007299,620.703125
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,26.05714178085327,,,250.87,,5.71,1,316.2768943021583,616.695312
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,28.06309485435486,,,250.87,,5.71,1,315.13731061952865,616.980469
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,25.87604784965515,,,250.87,,6.016,1,314.38332170652177,620.597656
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,25.84978485107422,,,250.87,,5.71,1,315.5888248188406,621.117188
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,25.86493349075317,,,250.87,,5.71,1,315.1127556145454,616.945312
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,26.09367036819458,,,250.87,,5.71,1,314.70370108633097,616.886719
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,25.96614122390747,,,250.87,,5.71,1,315.7783345253623,620.597656
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,25.85047554969788,,,250.87,,5.691111111111111,1,316.70713073454544,620.898438
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,25.761948108673096,,,250.87,,5.71,1,316.9492474124088,620.773438
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,26.26964426040649,,,250.87,,6.016,1,315.9112445642857,621.285156
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,25.9160795211792,,,250.87,,5.71,1,315.49690049275364,616.996094
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,25.98812747001648,,,250.87,,5.691111111111111,1,316.6165364384058,620.566406
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,25.834933519363403,,,250.87,,5.71,1,317.1581393672727,620.882812
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,25.820921659469604,,,250.87,,5.71,1,316.93178972363637,620.992188
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,25.95929527282715,,,250.87,,5.71,1,314.49525862318836,616.632812
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,25.881045818328857,,,250.87,,5.71,1,316.5913580905797,616.996094
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,25.55881190299988,,,250.87,,5.71,1,315.2178165514706,617.09375
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,25.4515540599823,,,250.87,,5.71,1,315.1482506911765,621.246094
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,25.81748604774475,,,250.87,,5.691111111111111,1,314.91860544927533,620.6875
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,26.113082885742188,,,250.87,,5.691111111111111,1,317.409214647482,620.957031
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,25.817341089248657,,,250.87,,5.71,1,314.2224146909091,616.539062
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,26.11439800262451,,,250.87,,5.71,1,313.7609316223021,616.992188
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,26.10334825515747,,,250.87,,5.71,1,313.7240893992806,616.8125
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,25.83013653755188,,,250.87,,5.71,1,316.05992904,620.707031
