nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,38.82840156555176,,,,82.828,5.691111111111111,1,393.89801323456794,781.578125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,36.24467778205872,,,,88.88,5.691111111111111,1,377.58130149736843,762.023438
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,37.27029156684876,,,,88.97999999999999,5.691111111111111,1,387.89006394102563,761.453125
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,37.13160109519959,,,,88.84,5.691111111111111,1,389.6905703969071,761.628906
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,38.26528739929199,,,,82.828,5.691111111111111,1,393.20841805000003,782.027344
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,37.140888929367065,,,,88.97,5.691111111111111,1,389.1766972396907,781.523438
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,38.23138642311096,,,,88.88,5.691111111111111,1,391.72489225,767.167969
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,37.87636184692383,,,,82.828,5.691111111111111,1,394.4154472278482,781.746094
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,38.23466777801514,,,,88.88,5.691111111111111,1,392.30176038345866,766.757812
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,37.47748422622681,,,,89.00200000000001,5.691111111111111,1,389.07118923214284,762.117188
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,37.24516892433167,,,,88.966,5.691111111111111,1,387.6169368820513,766.617188
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,38.011592626571655,,,,82.828,5.691111111111111,1,392.645149937186,781.5
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,37.66627526283264,,,,82.828,5.691111111111111,1,392.15678527157354,781.714844
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,36.817561864852905,,,,88.88,5.691111111111111,1,376.7835837298701,761.753906
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,37.80798411369324,,,,88.97999999999999,5.691111111111111,1,386.6953815656566,761.964844
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,38.30275845527649,,,,82.828,5.691111111111111,1,389.30167014250003,781.375
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,38.23745656013489,,,,82.828,5.691111111111111,1,395.4286106140351,781.527344
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,38.90913319587708,,,,82.828,5.691111111111111,1,388.9751191330049,781.605469
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,38.07548475265503,,,,82.828,5.691111111111111,1,393.9725186700252,781.425781
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,37.43454933166504,,,,88.88,5.691111111111111,1,388.67603046938774,766.894531
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,37.53273177146912,,,,89.03999999999999,5.691111111111111,1,385.782631653944,761.492188
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,38.38559722900391,,,,88.94132075471698,5.691111111111111,1,390.20579403491274,761.59375
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,37.78409171104431,,,,82.828,5.691111111111111,1,390.5225277924051,781.414062
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,37.56502294540405,,,,88.94132075471698,5.691111111111111,1,391.72693016284984,761.867188
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,36.36183524131775,,,,88.88,5.691111111111111,1,376.8313136456693,761.425781
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,36.40923762321472,,,,88.88,5.691111111111111,1,378.242269671916,761.597656
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,35.7657732963562,,,,88.88,5.691111111111111,1,377.8716667813334,761.476562
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,37.92120838165283,,,,82.828,5.691111111111111,1,393.9215294797979,781.558594
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,37.183225870132446,,,,88.88,5.691111111111111,1,386.1131307487179,766.898438
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,37.2872428894043,,,,89.03999999999999,5.691111111111111,1,386.40874421025643,766.53125
