nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,44.885233640670776,,,,,,,413.60592887794434,893.839844
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,42.05641841888428,,,,,,,416.5062838032037,902.269531
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,42.383463621139526,,,,,,,416.74738720181415,902.8125
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,42.25545787811279,,,,,,,410.23805048409093,900.054688
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,42.21429467201233,,,,,,,414.6550867840909,902.695312
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,42.172778844833374,,,,,,,417.49196502961274,902.570312
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,43.40462493896485,,,,,,,411.85643043680716,893.414062
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,42.26494336128235,,,,,,,413.6382048428246,902.128906
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,42.222057819366455,,,,,,,409.50244119545454,899.632812
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,42.24261546134949,,,,,,,412.91353764009114,893.511719
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,41.86432480812073,,,,,,,415.4029621834863,902.277344
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,42.75860095024109,,,,,,,419.0216690765766,903.023438
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,42.76200199127197,,,,,,,409.81712409641256,900.019531
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,42.46147322654724,,,,,,,418.83569008823525,902.816406
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,42.8321967124939,,,,,,,412.8541109596412,893.355469
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,41.91666913032532,,,,,,,410.88773143348624,900.019531
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,42.1066575050354,,,,,,,415.58869602733483,902.640625
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,42.70127534866333,,,,,,,417.9672368963964,902.761719
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,42.4111557006836,,,,,,,415.2801959727891,902.324219
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,42.26787495613098,,,,,,,414.71027914123005,893.980469
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,41.78431987762451,,,,,,,412.31517899770637,893.679688
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,42.29916262626648,,,,,,,417.9063391795455,902.414062
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,42.30519390106201,,,,,,,414.3594904318182,902.542969
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,42.21394610404968,,,,,,,418.3603269589977,902.917969
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,42.340583086013794,,,,,,,416.1162041269842,902.722656
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,42.59623908996582,,,,,,,416.10622696839727,902.398438
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,42.23855113983154,,,,,,,418.09181462272727,902.355469
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,42.22427082061768,,,,,,,415.1636355558087,901.980469
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,42.42560148239136,,,,,,,413.71122101360544,893.335938
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,42.23348522186279,,,,,,,414.4502397,902.027344
