nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.2210004329681396,9.0,13.75,,,,,79.32304685,134.082031
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.2181963920593261,9.0,13.75,,,,,79.03183585000001,134.203125
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.2212519645690918,9.0,13.75,,,,,79.3031251,133.730469
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.2216014862060547,9.0,13.75,,,,,79.42851555000001,134.15625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.2176198959350586,9.0,13.75,,,,,79.35566395000001,134.484375
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.223726749420166,9.0,13.75,,,,,78.70761725,133.625
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.2190005779266357,9.0,13.75,,,,,79.2796876,133.96875
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.226668119430542,9.0,13.75,,,,,79.07500005,133.859375
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.223524808883667,9.0,13.75,,,,,79.7390625,134.511719
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.2200007438659668,9.0,13.75,,,,,78.98515625,133.832031
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.2196061611175537,9.0,13.75,,,,,79.31152355000002,134.105469
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.2221884727478027,9.0,13.75,,,,,79.27597659999999,133.828125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.2179858684539795,9.0,13.75,,,,,79.31054685,134.636719
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.2200002670288086,9.0,13.75,,,,,78.32148450000001,134.492188
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.2232518196105957,9.0,13.75,,,,,79.3441406,133.824219
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.2226643562316894,9.0,13.75,,,,,79.19472665,134.136719
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.2199995517730713,9.0,13.75,,,,,79.0835937,133.789062
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.2196588516235351,9.0,13.75,,,,,78.941211,134.144531
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.2201459407806396,9.0,13.75,,,,,79.25117184999999,134.175781
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.2250008583068847,9.0,13.75,,,,,79.45839845,134.179688
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.2204790115356445,9.0,13.75,,,,,79.43496095,134.65625
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.2200026512145996,9.0,13.75,,,,,79.7146484,134.722656
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.2211637496948242,9.0,13.75,,,,,79.19433589999998,134.179688
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.2210443019866943,9.0,13.75,,,,,78.98984370000001,133.820312
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.2242639064788818,9.0,13.75,,,,,78.34101559999999,134.832031
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.2199234962463379,9.0,13.75,,,,,79.04648445000001,134.070312
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.2248764038085937,9.0,13.75,,,,,79.15625,133.957031
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.2220897674560547,9.0,13.75,,,,,79.29531250000001,134.101562
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.2215685844421386,9.0,13.75,,,,,78.90585945000001,133.742188
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.2210009098052978,9.0,13.75,,,,,78.8146484,133.902344
