nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0982236862182617,9.0,24.0,186.97724780864635,116.24,15.59,10.0,74.61805555555556,134.53125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0959994792938232,9.0,24.0,177.77923834511716,116.24,15.59,10.0,75.41276044444446,134.4375
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0960009098052978,9.0,24.0,175.81969136583322,116.24,15.59,10.0,75.36501738888889,133.921875
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0966169834136962,9.0,24.0,193.3987560847288,116.24,15.59,10.0,75.43142366666667,135.121094
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0959997177124023,9.0,24.0,183.9115537055472,116.24,15.59,10.0,75.12608505555555,136.269531
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0960004329681396,9.0,24.0,181.88160221008488,116.24,15.59,10.0,74.58441844444445,136.714844
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0999989509582519,9.0,24.0,,,,,75.21896699999999,134.691406
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0957391262054443,9.0,24.0,200.2987095015184,116.24,15.59,10.0,75.11328133333333,134.597656
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0981478691101074,9.0,24.0,,,,,75.30837672222222,135.015625
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0955591201782226,9.0,24.0,191.2500526203572,116.24,15.59,10.0,74.85004355555556,134.957031
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0950000286102294,9.0,24.0,181.8792555006584,116.24,15.59,10.0,74.24565977777777,134.316406
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.097041368484497,9.0,24.0,179.8449270569864,116.24,15.59,10.0,74.77734372222223,136.046875
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0969996452331543,9.0,24.0,187.1861253117128,116.24,15.59,10.0,74.388238,135.074219
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.1008281707763671,9.0,24.0,177.99385526424396,116.24,15.59,10.0,74.88736983333332,134.832031
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0970015525817871,9.0,24.0,175.99276485859207,116.24,15.59,10.0,74.54796016666666,136.679688
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0961592197418212,9.0,24.0,194.8811696143732,116.24,15.59,10.0,74.63151044444444,134.726562
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0960004329681396,9.0,24.0,185.32974770757767,116.24,15.59,10.0,75.58398427777779,134.597656
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0959997177124023,9.0,24.0,183.3020387398535,116.24,15.59,10.0,75.16536444444445,134.410156
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0955517292022705,9.0,24.0,188.6744659652023,116.24,15.59,10.0,75.34700522222222,134.558594
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0949988365173339,9.0,24.0,179.42829839275632,116.24,15.59,10.0,75.18337672222223,134.730469
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0965223312377929,9.0,24.0,177.4136953986454,116.24,15.59,10.0,75.31922755555554,134.847656
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0959992408752441,9.0,24.0,195.5228589642252,116.24,15.59,10.0,75.48676211111112,133.589844
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0962827205657959,9.0,24.0,185.97927417256483,116.24,15.59,10.0,74.9665798888889,134.539062
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0950002670288086,9.0,24.0,183.8701647649074,116.24,15.59,10.0,74.56098088888889,134.464844
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0979971885681152,9.0,24.0,,,,,75.58268233333334,133.972656
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0973684787750244,9.0,24.0,,,,,75.2113716111111,134.949219
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0990009307861328,9.0,24.0,,,,,75.08094616666668,134.433594
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0974264144897461,9.0,24.0,189.1013510380952,116.24,15.59,10.0,75.35243066666666,134.566406
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.096492052078247,9.0,24.0,179.84695895134587,116.24,15.59,10.0,75.06401905555555,134.640625
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0959999561309814,9.0,24.0,177.80825358881427,116.24,15.59,10.0,75.28320311111112,134.621094
