nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0708894729614257,8.0,20.0,180.25724780864635,,39.59,22.0,74.76627611111111,133.597656
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0700006484985351,8.0,20.0,171.05923834511717,,39.59,22.0,75.81467005555555,136.046875
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0709993839263916,8.0,20.0,169.09969136583322,,39.59,22.0,75.42252605555556,135.75
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0690414905548095,8.0,20.0,186.67875608472875,,39.59,22.0,75.10026044444444,133.828125
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0693151950836181,8.0,20.0,177.19155370554716,,39.59,22.0,75.19075516666666,133.476562
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0694131851196289,8.0,20.0,175.16160221008488,,39.59,22.0,75.45095494444445,135.742188
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0699989795684814,8.0,20.0,,,,,75.17599822222222,133.863281
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.070000410079956,8.0,20.0,193.5787095015184,,39.59,22.0,75.15299483333332,134.136719
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0690000057220459,8.0,20.0,,,,,75.28146699999999,133.929688
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.070347785949707,8.0,20.0,184.5300526203572,,39.59,22.0,74.93858511111111,133.710938
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0690796375274658,8.0,20.0,175.15925550065836,,39.59,22.0,75.54014744444444,135.785156
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0710005760192871,8.0,20.0,173.1249270569864,,39.59,22.0,75.57118066666666,136.078125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0701243877410888,8.0,20.0,180.4661253117128,,39.59,22.0,74.986111,133.953125
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0700013637542724,8.0,20.0,171.27385526424396,,39.59,22.0,75.41927083333333,136.027344
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0693299770355224,8.0,20.0,169.27276485859207,,39.59,22.0,75.44596355555555,135.554688
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0700011253356933,8.0,20.0,188.1611696143732,,39.59,22.0,75.21202261111111,133.839844
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0700008869171142,8.0,20.0,178.60974770757772,,39.59,22.0,75.26280383333332,134.046875
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.070000410079956,8.0,20.0,176.5820387398535,,39.59,22.0,75.61957466666667,135.84375
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0700008869171142,8.0,20.0,181.9544659652023,,39.59,22.0,74.4871961111111,133.757812
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0685338973999023,8.0,20.0,172.70829839275632,,39.59,22.0,75.06705738888888,133.894531
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0699996948242187,8.0,20.0,170.6936953986454,,39.59,22.0,75.64561627777778,136.042969
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0704879760742187,8.0,20.0,188.8028589642252,,39.59,22.0,75.31727438888888,134.035156
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0706002712249755,8.0,20.0,179.25927417256483,,39.59,22.0,75.34418394444444,133.832031
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.06919527053833,8.0,20.0,177.1501647649074,,39.59,22.0,74.82052955555554,133.519531
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0703051090240478,8.0,20.0,,,,,74.46766494444442,134.285156
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0688836574554443,8.0,20.0,,,,,75.34960944444443,133.671875
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0700013637542724,8.0,20.0,,,,,74.93988711111109,133.785156
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0699999332427978,8.0,20.0,182.3813510380952,,39.59,22.0,75.00325527777777,133.800781
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0704615116119384,8.0,20.0,173.12695895134587,,39.59,22.0,75.03862855555556,134.074219
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0700001716613769,8.0,20.0,171.08825358881427,,39.59,22.0,74.62912322222223,134.773438
