nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0490891933441162,9.0,24.0,4346.027263902345,89.86,39.72,57.0,72.22113711111112,136.164062
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.049999713897705,9.0,24.0,4376.854307313665,89.86,39.72,57.0,75.28493922222223,136.339844
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0500004291534423,9.0,24.0,4369.554728511089,89.86,39.72,57.0,74.88671877777777,136.128906
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0499999523162841,9.0,24.0,4561.684817583336,89.86,39.72,57.0,75.01302077777777,136.234375
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0492970943450927,9.0,24.0,4593.456925029841,89.86,39.72,57.0,74.5998263888889,136.195312
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0499999523162841,9.0,24.0,4585.97170740362,89.86,39.72,57.0,75.11349833333333,135.75
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.091998815536499,9.0,24.0,,,,,75.21809894444444,133.902344
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0935113430023193,9.0,24.0,,,,,74.60677088888889,134.574219
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0925614833831787,9.0,24.0,,,,,74.7717012777778,134.636719
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0500016212463378,9.0,24.0,4489.870473167976,89.86,39.72,57.0,75.34613716666667,136.144531
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0512754917144775,9.0,24.0,4521.2518836761365,89.86,39.72,57.0,75.12456594444444,135.972656
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0494356155395507,9.0,24.0,4513.8818665422,89.86,39.72,57.0,74.49739577777778,135.789062
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0499985218048095,9.0,24.0,4353.312175149934,89.86,39.72,57.0,74.00217022222222,136.105469
