nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0450003147125244,7.0,16.0,4333.987263902345,,,100.0,72.55685772222222,136.03125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0449998378753662,7.0,16.0,4364.814307313665,,,100.0,75.07790794444446,136.402344
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0450010299682617,7.0,16.0,4357.514728511089,,,100.0,74.95182288888888,136.046875
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0449986457824707,7.0,16.0,4549.644817583336,,,100.0,75.01150166666667,136.082031
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0449995994567871,7.0,16.0,4581.416925029841,,,100.0,74.90277783333335,135.65625
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0460004806518554,7.0,16.0,4573.93170740362,,,100.0,74.80902783333333,136.066406
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0499992370605468,7.0,16.0,,,,,74.66840283333335,133.8125
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0500006675720214,7.0,16.0,,,,,74.8574218888889,133.785156
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0513608455657959,7.0,16.0,,,,,74.8884548888889,134.089844
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0452303886413574,7.0,16.0,4477.830473167976,,,100.0,75.12434894444445,135.828125
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0450000762939453,7.0,16.0,4509.2118836761365,,,100.0,74.89019100000002,135.65625
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0453472137451171,7.0,16.0,4501.841866542199,,,100.0,74.9763455,135.921875
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0450003147125244,7.0,16.0,4341.272175149934,,,100.0,75.13020838888889,135.847656
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0459992885589599,7.0,16.0,4372.136607093178,,,100.0,75.01345505555555,135.898438
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0450007915496826,7.0,16.0,4364.857091509672,,,100.0,74.21137155555554,133.929688
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0450000762939453,7.0,16.0,4600.244334999319,,,100.0,75.04338,135.703125
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0450007915496826,7.0,16.0,4632.123384843085,,,100.0,75.04492200000001,135.542969
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.046370506286621,7.0,16.0,4624.60064122843,,,100.0,74.68923622222222,135.304688
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0460002422332763,7.0,16.0,4391.668772810337,,,100.0,74.65494794444444,136.203125
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.044215440750122,7.0,16.0,4422.713975660318,,,100.0,74.74717877777778,135.6875
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0450010299682617,7.0,16.0,4415.3150772374165,,,100.0,74.80555561111113,135.746094
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0512259006500244,7.0,16.0,,,,,74.76605899999998,134.246094
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0439991950988769,7.0,16.0,4653.609409863854,,,100.0,74.41102433333333,135.941406
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0460002422332763,7.0,16.0,4646.1689679655165,,,100.0,75.04144966666667,136.019531
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0504405498504638,7.0,16.0,,,,,74.06814238888887,132.019531
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.049999713897705,7.0,16.0,,,,,74.94444455555555,134.015625
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0500004291534423,7.0,16.0,,,,,74.63107638888889,133.976562
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0450005531311035,7.0,16.0,4406.016091404999,,,100.0,75.4151476111111,136.386719
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0459992885589599,7.0,16.0,4437.006797446535,,,100.0,74.99240461111111,136.128906
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0450003147125244,7.0,16.0,4429.751991066521,,,100.0,74.82226566666667,136.21875
