nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0443067550659179,8.0,12.0,340.14,,11.3,1.0,73.51996538888889,133.53125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0413062572479248,8.0,12.0,337.41,,11.3,1.0,73.78233499999999,131.816406
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0451855659484863,8.0,12.0,340.14,,11.3,1.0,74.25889749999999,132.179688
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0470001697540283,8.0,12.0,372.75,,11.3,1.0,74.07486977777779,132.640625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0443511009216308,8.0,12.0,340.14,,11.3,1.0,73.70052083333333,132.0625
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.047999620437622,8.0,12.0,372.75,,11.3,1.0,73.6102431111111,133.519531
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.1093647480010986,8.0,12.0,,,,,76.39905431578947,134.015625
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0552649497985839,8.0,12.0,514.16,,11.3,1.0,73.67860244444445,135.964844
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.1090312004089355,8.0,12.0,,,,,76.56291115789475,134.402344
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0484213829040527,8.0,12.0,372.75,,11.3,1.0,73.11783855555556,135.359375
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0439987182617187,8.0,12.0,340.14,,11.3,1.0,73.88628477777777,132.25
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0449998378753662,8.0,12.0,340.14,,11.3,1.0,73.90386277777777,135.503906
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0441765785217285,8.0,12.0,340.14,,11.3,1.0,74.0770401111111,132.089844
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0420000553131103,8.0,12.0,337.41,,11.3,1.0,73.67361105555557,131.984375
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0451397895812988,8.0,12.0,340.14,,11.3,1.0,73.358724,135.488281
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0493967533111572,8.0,12.0,410.52,,11.3,1.0,73.42057294444444,135.328125
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0449986457824707,8.0,12.0,340.14,,11.3,1.0,73.46440966666665,135.332031
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0472238063812255,8.0,12.0,372.75,,11.3,1.0,73.92578133333332,135.644531
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0470004081726074,8.0,12.0,372.75,,11.3,1.0,73.45117177777777,135.582031
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0420002937316894,8.0,12.0,337.41,,11.3,1.0,73.59006083333333,132.335938
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0440001487731933,8.0,12.0,340.14,,11.3,1.0,73.24761288888888,135.085938
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0500001907348632,8.0,12.0,410.52,,11.3,1.0,74.61046016666667,133.5625
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0451798439025878,8.0,12.0,340.14,,11.3,1.0,73.73958338888889,135.574219
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0481410026550293,8.0,12.0,372.75,,11.3,1.0,73.51671011111112,135.449219
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.1095504760742187,8.0,12.0,,,,,76.60958057894736,134.765625
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.1089999675750732,8.0,12.0,,,,,76.23601963157894,134.09375
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.1077253818511962,8.0,12.0,,,,,76.77405426315791,134.527344
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0474233627319335,8.0,12.0,372.75,,11.3,1.0,73.23719622222222,135.292969
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0420000553131103,8.0,12.0,337.41,,11.3,1.0,73.39171005555555,133.714844
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0443041324615478,8.0,12.0,340.14,,11.3,1.0,73.52929694444444,135.539062
