nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0429990291595459,8.0,12.0,193.3723871120049,70.22,,1,73.87543394444444,133.175781
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.042999267578125,8.0,12.0,184.0550523227825,70.22,,1,73.41341144444444,134.535156
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0429997444152832,8.0,12.0,182.1466533979351,70.22,,1,73.655599,132.878906
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.043001651763916,8.0,12.0,199.7980170504457,70.22,,1,73.87087688888889,133.058594
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.043001651763916,8.0,12.0,190.1878844644646,70.22,,1,73.30381949999999,134.648438
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.04356050491333,8.0,12.0,188.2105676978131,70.22,,1,73.59027788888889,134.464844
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0430004596710205,8.0,12.0,216.89521587568424,70.22,,1,74.02604172222222,134.722656
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0429999828338623,8.0,12.0,206.57634818913584,70.22,,1,73.28342016666664,134.941406
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0431017875671386,8.0,12.0,204.3908447816371,70.22,,1,72.62934022222221,134.785156
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0423038005828857,8.0,12.0,197.6479031371164,70.22,,1,73.38932277777778,132.824219
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0430004596710205,8.0,12.0,188.1554283974219,70.22,,1,73.41558155555556,135.0625
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0430030822753906,8.0,12.0,186.1731992966964,70.22,,1,74.13064233333333,133.734375
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.043001651763916,8.0,12.0,193.5812862445992,70.22,,1,73.26953133333332,134.550781
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0430002212524414,8.0,12.0,184.26966633394144,70.22,,1,73.05208327777777,135.238281
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0429995059967041,8.0,12.0,182.31961892533025,70.22,,1,73.31510416666666,136.582031
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0440001487731933,8.0,12.0,201.281215265345,70.22,,1,73.54709211111111,133.441406
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0420002937316894,8.0,12.0,191.6060144209281,70.22,,1,73.72135411111111,133.0
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.044213056564331,8.0,12.0,189.63138857168863,70.22,,1,73.04448794444446,134.839844
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0433173179626464,8.0,12.0,195.07058445445773,70.22,,1,73.42469622222224,135.046875
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0430004596710205,8.0,12.0,185.70419305314576,70.22,,1,73.26345500000001,132.835938
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0429990291595459,8.0,12.0,183.74112554191777,70.22,,1,73.07595488888889,134.878906
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0420007705688476,8.0,12.0,201.9234207884315,70.22,,1,73.44791661111111,134.757812
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0424184799194335,8.0,12.0,192.255806083774,70.22,,1,73.87000866666668,134.632812
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0429995059967041,8.0,12.0,190.1997472925367,70.22,,1,73.44422750000001,134.871094
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0431015491485595,8.0,12.0,180.51872557321536,70.22,,1,73.68554694444444,134.671875
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0429990291595459,8.0,12.0,171.7878742324374,70.22,,1,73.77756072222222,133.183594
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0433599948883056,8.0,12.0,169.96137281733428,70.22,,1,73.23741311111112,134.761719
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0430004596710205,8.0,12.0,195.4977911857604,70.22,,1,73.45638022222221,136.527344
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0430004596710205,8.0,12.0,186.12297407476635,70.22,,1,73.36653644444445,134.964844
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0432639122009277,8.0,12.0,184.13583265382317,70.22,,1,73.57595483333334,136.632812
