nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0870938301086425,8.0,12.0,,,,,71.66796873684211,134.25
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.043095588684082,8.0,12.0,4925.594821665546,91.22,,100.0,73.26280377777776,132.738281
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0430002212524414,8.0,12.0,4917.228059849274,91.22,,100.0,73.5036891111111,133.082031
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0659987926483154,8.0,12.0,1912.1272720410595,91.22,,100.0,71.14905415789474,136.421875
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0872919559478759,8.0,12.0,,,,,71.79872531578948,135.027344
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0859999656677246,8.0,12.0,,,,,73.80707455555554,134.558594
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0862588882446289,8.0,12.0,,,,,75.73087978947369,134.664062
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0865840911865234,8.0,12.0,,,,,70.90953957894737,135.277344
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0850329399108886,8.0,12.0,,,,,74.36067705555554,134.78125
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0664477348327636,8.0,12.0,1881.842042959605,91.22,,100.0,73.37738722222223,135.246094
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0430004596710205,8.0,12.0,5004.512458669349,91.22,,100.0,74.31553827777776,132.644531
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0852203369140625,8.0,12.0,,,,,73.85221355555556,134.738281
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0870001316070556,8.0,12.0,,,,,74.26041666666667,135.085938
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0420489311218261,8.0,12.0,4929.475006157017,91.22,,100.0,74.24001744444445,132.746094
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.041999340057373,8.0,12.0,4921.468108267338,91.22,,100.0,73.72526033333332,133.429688
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0670006275177002,8.0,12.0,1933.396223501349,91.22,,100.0,74.43511283333333,134.824219
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0858190059661865,8.0,12.0,,,,,73.82031250000001,134.46875
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0863838195800781,8.0,12.0,,,,,75.75925157894737,134.921875
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0850017070770263,8.0,12.0,,,,,74.14127599999999,134.707031
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0430009365081787,8.0,12.0,4957.197292199926,91.22,,100.0,73.78363705555556,132.976562
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0869998931884765,8.0,12.0,,,,,71.44222863157896,134.808594
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0669996738433837,8.0,12.0,1942.4730173411,91.22,,100.0,73.48046866666668,134.664062
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0860002040863037,8.0,12.0,,,,,75.36903778947368,135.128906
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0664484500885009,8.0,12.0,1930.8993891084656,91.22,,100.0,73.548828,134.84375
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0859997272491455,8.0,12.0,,,,,73.44736847368422,134.441406
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0859999656677246,8.0,12.0,,,,,73.73502605555556,134.71875
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0853679180145263,8.0,12.0,,,,,70.3651314736842,134.910156
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0859997272491455,8.0,12.0,,,,,75.85690784210526,134.675781
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0423097610473632,8.0,12.0,4964.875611356153,91.22,,100.0,73.37131072222222,134.574219
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0860013961791992,8.0,12.0,,,,,73.38404600000001,134.886719
