nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.1000006198883056,8.0,12.0,,,,,74.48725331578947,134.445312
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0433747768402099,8.0,12.0,4926.584821665546,,5.64,1.0,74.13953988888889,133.242188
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0429999828338623,8.0,12.0,4918.218059849274,,5.64,1.0,73.74175355555555,133.144531
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0493216514587402,8.0,12.0,1936.1272720410595,,16.849999999999998,20.0,73.31987838888888,134.660156
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.1010007858276367,8.0,12.0,,,,,76.63157889473685,134.808594
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.1002516746520996,8.0,12.0,,,,,75.06085526315788,134.519531
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.1009986400604248,8.0,12.0,,,,,75.79152968421053,134.671875
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.1007435321807861,8.0,12.0,,,,,76.50801805263158,134.789062
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0997219085693359,8.0,12.0,,,,,73.8797287368421,134.753906
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0500018596649169,8.0,12.0,1905.842042959605,,16.849999999999998,20.0,74.58637155555556,133.527344
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0434069633483886,8.0,12.0,5005.502458669349,,5.64,1.0,74.27625866666668,133.277344
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0999999046325683,8.0,12.0,,,,,74.13199010526316,134.957031
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.1010003089904785,8.0,12.0,,,,,76.85937494736841,134.75
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0430493354797363,8.0,12.0,4930.465006157016,,5.64,1.0,73.57183166666667,132.941406
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0430471897125244,8.0,12.0,4922.458108267338,,5.64,1.0,74.20876744444443,133.148438
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0490009784698486,8.0,12.0,1957.396223501349,,16.849999999999998,20.0,74.00238711111112,135.074219
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.1019999980926513,8.0,12.0,,,,,76.22409542105264,134.820312
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.1008610725402832,8.0,12.0,,,,,76.45744247368421,134.800781
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.1010477542877197,8.0,12.0,,,,,72.10752473684211,134.6875
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0420455932617187,8.0,12.0,4958.187292199926,,5.64,1.0,74.04253472222223,133.476562
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0999996662139892,8.0,12.0,,,,,76.35279594736843,134.511719
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0489993095397949,8.0,12.0,1966.4730173411,,16.849999999999998,20.0,73.65234377777777,134.601562
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0999994277954101,8.0,12.0,,,,,76.60156252631579,135.082031
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0490009784698486,8.0,12.0,1954.8993891084656,,16.849999999999998,20.0,73.18554694444444,134.78125
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.1000003814697265,8.0,12.0,,,,,76.93421057894736,135.003906
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.1015405654907226,8.0,12.0,,,,,76.22923526315789,134.820312
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.1000010967254638,8.0,12.0,,,,,76.3764392631579,134.871094
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.1000001430511474,8.0,12.0,,,,,76.10567436842105,134.546875
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0423049926757812,8.0,12.0,4965.865611356153,,5.64,1.0,73.22352433333333,136.15625
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.100043773651123,8.0,12.0,,,,,74.95168589473684,134.757812
