nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,1.3872332572937012,2555,13033,348.8975,83.50874999999999,7.05,5,103.10302746875,154.105469
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,1.374091625213623,2555,13033,348.8975,77.76,6.0,4,102.75683590624999,151.738281
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,1.38000750541687,2555,13033,348.8975,83.50874999999999,7.05,5,102.9621581875,153.929688
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,1.4520883560180664,2555,13033,348.8975,83.02538461538462,7.05,5,104.45466387878787,156.265625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,1.43088960647583,2555,13033,348.8975,83.50874999999999,7.05,5,103.7382813125,155.886719
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,1.4394137859344482,2555,13033,348.8975,83.50874999999999,7.05,5,104.56486745454546,154.710938
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.6207058429718018,2555,13033,348.8975,83.52,6.893750000000001,5,106.04308364705882,160.214844
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.6157419681549072,2555,13033,348.8975,77.75666666666666,5.7,4,106.17624070588235,160.414062
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.618729829788208,2555,13033,348.8975,83.52,7.9,5,106.56744026470588,160.027344
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.4498190879821775,2555,13033,348.8975,83.82512195121951,7.05,5,104.55693654545455,154.101562
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.4060649871826172,2555,13033,348.8975,83.50874999999999,7.05,5,103.45336921875,156.089844
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,1.420767068862915,2555,13033,348.8975,83.50874999999999,7.05,5,103.48364246875,155.742188
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,1.381145715713501,2555,13033,348.8975,83.50874999999999,7.05,5,102.508545,152.992188
