nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,1.007190465927124,1839,9569,348.8975,83.50874999999999,,5,94.65140089655173,150.878906
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.9910216331481934,1839,9569,348.8975,83.50874999999999,,5,94.57664337931035,148.957031
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,1.0023112297058103,1839,9569,348.8975,83.50874999999999,,5,96.64224137931035,149.25
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,1.049577713012695,1839,9569,348.8975,83.82512195121951,,5,98.31654086206896,152.394531
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,1.034867763519287,1839,9569,348.8975,78.66,,4,98.84361524137931,151.09375
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,1.035757064819336,1839,9569,348.8975,83.82512195121951,,5,98.36786099999999,150.726562
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.135883092880249,1839,9569,348.8975,83.52,,5,100.43307286666665,154.625
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.1423017978668213,1839,9569,348.8975,83.52,,5,100.16015619999999,153.449219
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.1317448616027832,1839,9569,348.8975,83.52,,5,100.18046873333333,154.144531
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.0464980602264404,1839,9569,348.8975,83.82512195121951,,5,98.52747841379309,150.0
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.0270061492919922,1839,9569,348.8975,84.81125,,5,98.28690731034484,149.117188
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,1.0324819087982178,1839,9569,348.8975,83.82512195121951,,5,98.52720913793104,150.476562
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,1.0201809406280518,1839,9569,348.8975,83.50874999999999,,5,98.25431037931035,150.308594
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,1.0035552978515625,1839,9569,348.8975,83.50874999999999,,5,97.5906519310345,148.742188
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,1.004265069961548,1839,9569,348.8975,83.50874999999999,,5,98.31196113793104,151.261719
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,1.053807497024536,1839,9569,348.8975,83.27384615384615,,5,98.39857220689656,154.382812
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,1.0407731533050537,1839,9569,348.8975,77.76,,4,98.23531786206895,150.777344
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,1.0416755676269531,1839,9569,348.8975,83.82512195121951,,5,98.11786103448276,150.253906
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,1.0184440612792969,1839,9569,348.8975,84.81125,,5,98.06802272413793,150.609375
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,1.0041005611419678,1839,9569,348.8975,83.50874999999999,,5,98.20514548275862,149.972656
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,1.032810926437378,1839,9569,348.8975,84.81125,,5,97.85196655172412,150.203125
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,1.0442638397216797,1839,9569,348.8975,83.27384615384615,,5,98.16837279310344,150.441406
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,1.0374958515167236,1839,9569,348.8975,83.82512195121951,,5,98.69234913793105,149.519531
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,1.0575132369995115,1839,9569,348.8975,83.82512195121951,,5,98.39735986206897,148.75
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,1.0103306770324707,1839,9569,348.8975,77.76,,4,98.36961213793104,149.3125
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,1.0028290748596191,1839,9569,348.8975,83.50874999999999,,5,98.1771283448276,149.449219
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,1.00057053565979,1839,9569,348.8975,83.50874999999999,,5,97.9020744137931,149.039062
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,1.0078108310699463,1839,9569,348.8975,84.81125,,5,98.3434805862069,150.785156
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,1.0015125274658203,1839,9569,348.8975,83.976,,5,98.26239217241378,151.082031
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,1.0279319286346436,1839,9569,348.8975,78.66,,4,97.96470917241382,149.996094
