nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.6105906963348389,1004,5604,256.70500000000004,,,99,91.46218736,144.097656
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.6169531345367432,1004,5604,256.70500000000004,,,99,90.69624996,139.789062
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.6244692802429199,1004,5604,256.70500000000004,,,99,91.48796868,144.019531
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.6366639137268066,1004,5604,256.70500000000004,,,99,90.76281248,140.453125
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.6271543502807617,1004,5604,256.70500000000004,,,99,90.75718748,140.636719
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.6288845539093018,1004,5604,256.70500000000004,,,99,91.32468756,144.75
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.654533863067627,1004,5604,256.70500000000004,,,99,90.7316706923077,146.917969
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.6628684997558594,1004,5604,256.70500000000004,,,99,90.07767434615383,145.132812
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.6604619026184082,1004,5604,256.70500000000004,,,99,88.00075115384617,146.234375
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.6335885524749756,1004,5604,256.70500000000004,,,99,91.26375,144.097656
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.6232872009277344,1004,5604,256.70500000000004,,,99,90.98390611999999,140.519531
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.6269733905792236,1004,5604,256.70500000000004,,,99,90.69718755999999,140.023438
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.6212189197540283,1004,5604,256.70500000000004,,,99,90.84031248,139.785156
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.617567777633667,1004,5604,256.70500000000004,,,99,90.70703119999999,140.144531
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.6169998645782471,1004,5604,256.70500000000004,,,99,90.94531244,140.148438
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.6348028182983398,1004,5604,256.70500000000004,,,99,91.0904688,143.761719
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.6286070346832275,1004,5604,256.70500000000004,,,99,90.94953124,140.570312
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.6343584060668945,1004,5604,256.70500000000004,,,99,91.26203124,140.777344
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.6182601451873779,1004,5604,256.70500000000004,,,99,90.17718751999999,139.472656
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.606548547744751,1004,5604,256.70500000000004,,,99,90.59890631999998,139.9375
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.6301479339599609,1004,5604,256.70500000000004,,,99,87.44125607692308,145.550781
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.6351573467254639,1004,5604,256.70500000000004,,,99,91.15593747999999,140.804688
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.6425426006317139,1004,5604,256.70500000000004,,,99,87.79086546153847,143.460938
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.6419212818145752,1004,5604,256.70500000000004,,,99,91.5475,145.289062
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.6120836734771729,1004,5604,256.70500000000004,,,99,91.01859376,143.570312
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.6065309047698975,1004,5604,256.70500000000004,,,99,91.19453124,144.632812
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.6082696914672852,1004,5604,256.70500000000004,,,99,90.8684376,141.339844
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.6259143352508545,1004,5604,256.70500000000004,,,99,90.39390632,139.886719
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.6171238422393799,1004,5604,256.70500000000004,,,99,87.9607873076923,145.460938
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.6226119995117188,1004,5604,256.70500000000004,,,99,91.30156252,144.128906
