nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,1.3965859413146973,2555,13033,338.53,160.73399999999998,48.28125,28,103.364379875,153.230469
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,1.3796474933624268,2555,13033,338.53,160.73399999999998,49.78,28,103.09997556249999,152.6875
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,1.3983657360076904,2555,13033,338.53,160.73399999999998,49.78,28,103.10888665625,154.527344
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,1.557607889175415,2555,13033,337.75,163.53500000000005,12.799999999999956,30,105.33926935294119,158.425781
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,1.478400468826294,2555,13033,337.75,163.53500000000005,12.799999999999956,30,104.98046872727272,156.773438
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,1.5124194622039795,2555,13033,337.75,163.53500000000005,12.799999999999956,30,104.63281248484849,153.859375
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.7953171730041504,2555,13033,337.75,163.53500000000005,12.799999999999956,30,109.16026472222224,161.898438
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.802377700805664,2555,13033,337.75,163.53500000000005,12.799999999999956,30,109.4980468888889,161.402344
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.808122396469116,2555,13033,337.75,163.53500000000005,12.799999999999956,30,109.34667974999999,161.558594
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.5093564987182615,2555,13033,338.53,160.73399999999998,48.28125,28,104.5121923030303,157.179688
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.4447269439697266,2555,13033,338.53,160.73399999999998,48.28125,28,104.39926618181818,155.738281
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,1.4753355979919434,2555,13033,337.75,163.53500000000005,12.799999999999956,30,104.9569128181818,156.816406
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,1.4214847087860107,2555,13033,338.53,160.73399999999998,48.28125,28,103.44055184375,154.503906
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,1.4141361713409424,2555,13033,338.53,160.73399999999998,49.78,28,103.25061037500001,152.261719
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,1.4037046432495115,2555,13033,338.53,160.73399999999998,49.78,28,103.244140625,154.808594
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,1.5562806129455566,2555,13033,337.75,163.53500000000005,12.799999999999956,30,106.24299170588235,159.195312
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,1.5017085075378418,2555,13033,337.75,163.53500000000005,12.799999999999956,30,104.88884945454546,163.683594
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,1.5318100452423096,2555,13033,337.75,164.676,12.799999999999956,30,104.91998112121212,158.800781
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,1.4521701335906982,2555,13033,338.53,160.73399999999998,48.28125,28,104.56214487878788,154.765625
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,1.4021618366241455,2555,13033,338.53,160.73399999999998,48.837500000000006,28,102.90026859375001,154.664062
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,1.442336082458496,2555,13033,338.53,160.73399999999998,48.837500000000006,28,104.16169512121212,152.574219
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,1.5696821212768557,2555,13033,337.75,163.53500000000005,12.799999999999956,30,106.3509880882353,159.269531
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,1.5241694450378418,2555,13033,337.75,163.53500000000005,12.799999999999956,30,105.41915251515151,163.011719
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,1.5823183059692385,2555,13033,337.75,163.53500000000005,12.799999999999956,30,106.29044114705883,159.523438
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,1.369971752166748,2555,13033,338.53,160.73399999999998,51.625,28,103.24865721875,152.976562
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,1.3798761367797852,2555,13033,338.53,160.73399999999998,51.625,28,102.72143559375,152.265625
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,1.3835699558258057,2555,13033,338.53,160.73399999999998,51.625,28,103.46582028124999,152.964844
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,1.447326898574829,2555,13033,338.53,160.73399999999998,48.28125,28,104.18264672727273,156.050781
