nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.8526163101196289,1647,7784,,82.828,5.691111111111111,1,95.00376162962964,142.796875
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.8497781753540039,1647,7784,,82.828,5.691111111111111,1,94.62803811111111,142.449219
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.8513126373291016,1647,7784,,82.828,5.691111111111111,1,91.92857139285714,144.496094
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.8807406425476074,1647,7784,,82.74,5.691111111111111,1,96.15583146428571,147.855469
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.8643660545349121,1647,7784,,82.76,6.016,1,94.77943639285715,147.554688
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.8723928928375244,1647,7784,,82.76,5.691111111111111,1,93.95884489285716,147.4375
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.9702146053314208,1647,7784,,82.74,5.691111111111111,1,94.44167568965518,152.242188
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.969998836517334,1647,7784,,82.74,5.691111111111111,1,96.77064735714285,152.601562
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.96270489692688,1647,7784,,82.74,5.691111111111111,1,97.25892857142857,152.765625
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.8735353946685791,1647,7784,,82.76,5.691111111111111,1,94.07631132142858,148.023438
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.8517096042633057,1647,7784,,82.828,6.016,1,94.73828125925924,142.851562
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.8509922027587891,1647,7784,,82.76,5.691111111111111,1,95.0711805185185,146.941406
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.8562092781066895,1647,7784,,82.828,5.691111111111111,1,91.97907371428573,147.304688
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.8426361083984375,1647,7784,,82.828,5.691111111111111,1,95.02459492592594,146.023438
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.8448152542114258,1647,7784,,82.828,5.691111111111111,1,94.46137144444445,143.179688
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.8955299854278564,1647,7784,,82.74,5.691111111111111,1,96.85853789285714,147.621094
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.8650600910186768,1647,7784,,82.76,5.691111111111111,1,93.0364117142857,146.382812
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.8732855319976807,1647,7784,,82.76,6.016,1,92.24274553571429,148.402344
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.8665585517883301,1647,7784,,82.828,5.691111111111111,1,94.99088537037035,145.414062
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.8535122871398926,1647,7784,,82.828,5.691111111111111,1,94.8734087037037,144.878906
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.8408739566802979,1647,7784,,82.828,5.691111111111111,1,94.54267937037038,142.457031
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.9023144245147704,1647,7784,,82.74,5.691111111111093,1,96.07938064285715,147.917969
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.8634107112884521,1647,7784,,82.76,5.691111111111111,1,92.09095989285713,147.703125
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.8904128074645996,1647,7784,,82.76,5.691111111111111,1,96.25460392857143,147.625
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.8320150375366211,1647,7784,,82.828,5.691111111111111,1,94.88744203703703,146.167969
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.8434128761291504,1647,7784,,82.828,5.691111111111111,1,94.3255208888889,142.59375
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.8407492637634277,1647,7784,,82.828,5.691111111111111,1,94.56495951851853,142.800781
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.865386962890625,1647,7784,,82.828,5.691111111111111,1,93.09556364285713,147.144531
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.8432979583740234,1647,7784,,82.828,5.691111111111111,1,94.1879341111111,142.808594
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.8381025791168213,1647,7784,,82.828,5.691111111111111,1,94.59302666666666,144.464844
