nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,1.22196626663208,2251,11460,333.53,82.828,5.7159375,1,101.1528478064516,150.015625
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,1.2022027969360352,2251,11460,293.59944444444443,84.16434782608694,13.05972972972973,13,99.87613422580645,152.007812
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,1.1851911544799805,2251,11460,293.59944444444443,84.16434782608694,13.05972972972973,13,99.86106763333333,150.253906
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,1.3270981311798096,2251,11460,333.53,82.74,5.691111111111111,1,102.51562503225807,155.117188
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,1.2510735988616943,2251,11460,333.53,82.76,5.691111111111111,1,102.07900703225808,152.105469
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,1.283670425415039,2251,11460,333.53,82.76,5.691111111111111,1,101.3627772903226,154.867188
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.56885027885437,2251,11460,333.53,82.74,5.691111111111111,1,106.64073991176471,158.929688
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.5664491653442385,2251,11460,333.53,82.74,5.691111111111111,1,106.50494029411765,158.707031
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.592871904373169,2251,11460,333.53,82.74,5.691111111111111,1,106.44335938235294,159.515625
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.2752714157104492,2251,11460,333.53,82.76,5.691111111111111,1,101.94367454838711,151.433594
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.219736099243164,2251,11460,333.53,82.828,5.691111111111111,1,98.86517138709678,151.964844
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,1.261059045791626,2251,11460,333.53,82.76,5.691111111111111,1,101.52041325806452,151.136719
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,1.213266372680664,2251,11460,333.53,82.828,5.691111111111111,1,98.7576864516129,151.058594
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,1.217954397201538,2251,11460,293.59944444444443,84.16434782608694,13.05972972972973,13,101.24168338709676,152.664062
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,1.2175650596618652,2251,11460,293.59944444444443,84.16434782608694,13.05972972972973,13,101.24974803225808,152.203125
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,1.3820936679840088,2251,11460,333.53,82.74,5.691111111111111,1,103.21923831250001,157.320312
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,1.29992413520813,2251,11460,333.53,82.76,5.691111111111111,1,98.48779290625001,154.472656
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,1.32647442817688,2251,11460,333.53,82.76,5.691111111111111,1,102.52282712499999,154.996094
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,1.2468674182891846,2251,11460,333.53,82.828,6.016,1,101.20413306451613,149.789062
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,1.204106330871582,2251,11460,293.59944444444443,84.16434782608694,13.05972972972973,13,98.078251,151.839844
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,1.232752799987793,2251,11460,321.53075,83.916,11.753333333333336,11,101.70249503225806,151.917969
