nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.4550721645355224,811,3802,,82.828,,1,88.67024737499999,142.996094
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.4392232894897461,811,3802,,82.828,,1,84.37597654166667,141.710938
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.4481463432312011,811,3802,,82.828,,1,88.02490229166666,142.8125
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.4619150161743164,811,3802,,82.74,,1,88.90755216666666,143.472656
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.4629702568054199,811,3802,,82.76,,1,88.76350908333335,143.652344
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.4612452983856201,811,3802,,82.76,,1,88.52376299999999,141.824219
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.4782102108001709,811,3802,,82.74,,1,89.29915358333334,143.253906
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.4852933883666992,811,3802,,82.74,,1,88.76839208333335,147.839844
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.4752285480499267,811,3802,,82.74,,1,88.55631504166666,148.226562
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.4616866111755371,811,3802,,82.76,,1,88.99593091666667,143.773438
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.4524316787719726,811,3802,,82.828,,1,88.61067708333333,143.257812
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.4620006084442138,811,3802,,82.76,,1,88.91422533333332,143.566406
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.4524176120758056,811,3802,,82.828,,1,88.87760425,142.894531
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.4479038715362549,811,3802,,82.828,,1,88.44075516666668,141.628906
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.4527771472930908,811,3802,,82.828,,1,88.34082029166666,142.199219
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.471435546875,811,3802,,82.74,,1,88.61979166666667,142.496094
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.461465835571289,811,3802,,82.76,,1,88.70784508333334,141.984375
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.4619464874267578,811,3802,,82.76,,1,88.70930991666667,142.234375
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.450669527053833,811,3802,,82.828,,1,88.58902991666666,143.183594
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.4510383605957031,811,3802,,82.828,,1,88.87597658333334,142.757812
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.4517595767974853,811,3802,,82.828,,1,88.54671229166667,142.863281
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.4706804752349853,811,3802,,82.74,,1,88.901367125,143.625
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.4568362236022949,811,3802,,82.76,,1,88.91389979166667,143.320312
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.462130069732666,811,3802,,82.76,,1,89.12841800000001,142.882812
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.4467658996582031,811,3802,,82.828,,1,84.39664720833333,141.917969
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.4454784393310547,811,3802,,82.828,,1,88.5437825,141.863281
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.4476625919342041,811,3802,,82.828,,1,88.74218758333335,141.949219
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.4521355628967285,811,3802,,82.828,,1,88.78124995833332,141.953125
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.451387882232666,811,3802,,82.828,,1,88.75764970833332,142.652344
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.4539840221405029,811,3802,,82.828,,1,89.09293624999998,143.078125
