nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.8258452415466309,1447,7663,333.53,,5.691111111111111,1,94.57175925925925,146.789062
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.8242402076721191,1447,7663,293.59944444444443,,13.05972972972973,13,94.42447918518518,145.667969
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.8174810409545898,1447,7663,293.59944444444443,,13.05972972972973,13,94.61530662962961,146.5625
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.824831485748291,1447,7663,333.53,,5.691111111111111,1,94.98828133333335,146.5625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.8224911689758301,1447,7663,333.53,,5.691111111111111,1,95.07798022222222,147.292969
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.8308382034301758,1447,7663,333.53,,5.691111111111111,1,94.79745366666666,145.863281
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.8445394039154053,1447,7663,333.53,,5.691111111111111,1,91.00976567857143,147.316406
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.8517894744873047,1447,7663,333.53,,5.691111111111111,1,94.73090277777777,146.121094
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.8471405506134033,1447,7663,333.53,,5.691111111111111,1,95.01750577777777,150.21875
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.8290479183197021,1447,7663,333.53,,5.691111111111111,1,95.33333337037035,147.714844
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.8171310424804688,1447,7663,333.53,,5.691111111111111,1,94.776765,146.746094
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.830665111541748,1447,7663,333.53,,5.691111111111111,1,94.9521122962963,147.640625
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.8308591842651367,1447,7663,333.53,,5.691111111111111,1,95.41739003703704,149.613281
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.8138971328735352,1447,7663,293.59944444444443,,13.05972972972973,13,94.32190403703704,146.609375
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.8178155422210693,1447,7663,293.59944444444443,,13.05972972972973,13,94.49971074074075,146.011719
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.8304121494293213,1447,7663,333.53,,5.691111111111111,1,94.38179977777779,146.183594
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.8263387680053711,1447,7663,333.53,,5.691111111111111,1,94.70529518518518,149.953125
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.8324718475341797,1447,7663,333.53,,5.691111111111111,1,94.64887155555554,148.28125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.8313660621643066,1447,7663,333.53,,5.691111111111111,1,95.07335062962963,146.820312
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.8183503150939941,1447,7663,293.59944444444443,,13.05972972972973,13,94.64163770370371,146.042969
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.8257343769073486,1447,7663,297.99,,11.753333333333336,11,94.47960077777778,146.289062
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.8342571258544922,1447,7663,333.53,,5.691111111111111,1,95.30251744444443,147.402344
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.8242964744567871,1447,7663,333.53,,5.691111111111111,1,94.66218174074075,148.460938
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.8414983749389648,1447,7663,333.53,,5.691111111111111,1,95.09881366666667,148.566406
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.8177742958068848,1447,7663,293.59944444444443,,13.05972972972973,13,94.70312511111112,145.792969
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.8733556270599365,1447,7663,293.59944444444443,,13.05972972972973,13,95.80678025,146.792969
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.8110833168029785,1447,7663,293.59944444444443,,13.05972972972973,13,94.72714122222223,146.449219
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.83011794090271,1447,7663,333.53,,5.691111111111111,1,94.43605314814815,144.621094
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.8304226398468018,1447,7663,321.53075,,11.753333333333336,11,94.01085074074074,142.304688
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.8283207416534424,1447,7663,297.99,,11.753333333333336,11,94.62311922222221,147.109375
