MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
body-pose-openpifpaf,regnety400mf-59p,128x96,lne,GPU/CPU,F32,0.2,4.7,19.0,4.8,77.8,11.0,93.6,10.7,35900.1,23.3,0.3,0.0,0.0,0.0,0.0,47.3,0.0,0.0,53.5,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-59p,128x96,onnxruntime,CPU,F32,0.2,4.7,19.0,4.8,188.1,14.6,207.5,4.8,16194.5,22.1,0.3,0.0,0.0,0.0,0.0,51.1,0.0,0.0,54.7,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-59p,192x144,lne,GPU/CPU,F32,0.5,4.7,19.0,13.7,152.2,33.7,199.6,5.0,16832.4,22.7,0.3,0.0,0.0,0.0,0.0,49.8,0.0,0.0,54.4,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-59p,192x144,onnxruntime,CPU,F32,0.5,4.7,19.0,13.9,335.3,54.1,403.4,2.5,8329.6,22.1,0.3,0.0,0.0,0.0,0.0,51.7,0.0,0.0,55.1,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-59p,256x192,lne,GPU/CPU,F32,0.9,4.7,19.0,17.0,254.9,56.8,328.7,3.0,10220.5,22.4,0.3,0.0,0.0,0.0,0.0,51.2,0.0,0.0,55.7,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-59p,256x192,onnxruntime,CPU,F32,0.9,4.7,19.0,17.1,513.4,82.6,613.1,1.6,5480.4,21.2,0.3,0.0,0.0,0.0,0.0,52.6,0.0,0.0,56.1,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-86p,128x96,lne,GPU/CPU,F32,0.2,4.7,19.0,4.8,77.7,15.9,98.4,10.2,34136.4,23.3,0.4,0.0,0.0,0.0,0.0,47.5,0.0,0.0,54.3,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-86p,128x96,onnxruntime,CPU,F32,0.2,4.7,19.0,4.8,188.0,20.4,213.2,4.7,15760.5,22.3,0.3,0.0,0.0,0.0,0.0,51.0,0.0,0.0,53.9,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-86p,192x144,lne,GPU/CPU,F32,0.5,4.7,19.0,13.6,151.8,49.5,214.9,4.7,15632.2,23.8,0.4,0.0,0.0,0.0,0.0,50.1,0.0,0.0,55.5,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-86p,192x144,onnxruntime,CPU,F32,0.5,4.7,19.0,13.8,335.8,73.7,423.4,2.4,7936.5,22.6,0.3,0.0,0.0,0.0,0.0,51.9,0.0,0.0,54.9,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-86p,256x192,lne,GPU/CPU,F32,0.9,4.7,19.0,16.8,254.3,84.2,355.3,2.8,9457.0,24.4,0.4,0.0,0.0,0.0,0.0,51.5,0.0,0.0,56.6,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-86p,256x192,onnxruntime,CPU,F32,0.9,4.7,19.0,17.2,511.8,116.6,645.6,1.5,5204.8,22.8,0.4,0.0,0.0,0.0,0.0,52.8,0.0,0.0,56.2,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-hands,128x96,lne,GPU/CPU,F32,0.2,4.7,19.0,4.8,77.6,4.4,86.8,11.5,38706.6,23.4,0.3,0.0,0.0,0.0,0.0,46.9,0.0,0.0,54.4,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-hands,128x96,onnxruntime,CPU,F32,0.2,4.7,19.0,4.8,187.8,6.4,199.0,5.0,16881.6,22.0,0.3,0.0,0.0,0.0,0.0,51.8,0.0,0.0,54.0,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-hands,192x144,lne,GPU/CPU,F32,0.5,4.7,19.0,13.6,151.8,25.4,190.9,5.2,17599.5,23.3,0.4,0.0,0.0,0.0,0.0,49.4,0.0,0.0,54.6,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-hands,192x144,onnxruntime,CPU,F32,0.5,4.7,19.0,13.8,334.8,46.7,395.4,2.5,8497.6,21.9,0.3,0.0,0.0,0.0,0.0,51.3,0.0,0.0,55.0,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-hands,256x192,lne,GPU/CPU,F32,0.9,4.7,19.0,17.2,255.0,42.0,314.2,3.2,10694.7,23.8,0.4,0.0,0.0,0.0,0.0,51.0,0.0,0.0,55.6,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-hands,256x192,onnxruntime,CPU,F32,0.9,4.7,19.0,17.0,513.1,64.2,594.3,1.7,5653.3,22.1,0.3,0.0,0.0,0.0,0.0,52.3,0.0,0.0,56.0,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-wholebody,128x96,lne,GPU/CPU,F32,0.2,4.7,19.0,4.8,77.8,23.0,105.6,9.5,31816.8,23.7,0.4,0.0,0.0,0.0,0.0,47.8,0.0,0.0,53.7,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-wholebody,128x96,onnxruntime,CPU,F32,0.2,4.7,19.0,4.9,187.7,48.2,240.9,4.2,13950.3,21.8,0.3,0.0,0.0,0.0,0.0,50.5,0.0,0.0,54.8,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-wholebody,192x144,lne,GPU/CPU,F32,0.5,4.7,19.0,13.6,152.4,76.2,242.3,4.1,13868.1,24.3,0.4,0.0,0.0,0.0,0.0,50.4,0.0,0.0,54.8,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-wholebody,192x144,onnxruntime,CPU,F32,0.5,4.7,19.0,14.0,335.6,116.6,466.2,2.1,7207.3,22.5,0.4,0.0,0.0,0.0,0.0,52.3,0.0,0.0,55.2,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-wholebody,256x192,lne,GPU/CPU,F32,0.9,4.7,19.0,17.1,254.7,130.3,402.0,2.5,8358.2,24.5,0.4,0.0,0.0,0.0,0.0,51.7,0.0,0.0,55.9,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-wholebody,256x192,onnxruntime,CPU,F32,0.9,4.7,19.0,17.0,512.7,190.6,720.4,1.4,4664.2,23.2,0.4,0.0,0.0,0.0,0.0,53.3,0.0,0.0,56.6,0.0,0.0,0.0
