MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
emotion-classic-light-112x96,default_onnx,96x112,lne,CPU,F32,0.4,2.7,10.8,5.0,57.3,0.0,62.4,16.0,43080.8,35.1,0.3,0.0,0.0,0.0,0.0,55.7,0.0,0.0,60.8,0.0,0.0,0.0
emotion-classic-light-112x96,moonshine_onnx,96x112,lne,CPU,F32,0.2,0.1,0.6,5.4,70.6,0.0,76.0,13.2,35352.1,33.4,0.3,0.0,0.0,0.0,0.0,56.6,0.0,0.0,61.9,0.0,0.0,0.0
emotion-classic-light-112x96,moonshine_onnx,96x112,onnxruntime,CPU,F32,0.2,0.1,0.6,5.5,148.6,0.1,154.1,6.5,17439.5,33.2,0.3,0.0,0.0,0.0,0.0,57.7,0.0,0.0,62.3,0.0,0.0,0.0
emotion-classic-light-112x96,student_g1,96x112,lne,CPU,F32,0.6,0.4,1.6,5.1,92.3,0.0,97.5,10.3,27571.7,33.6,0.3,0.0,0.0,0.0,0.0,56.4,0.0,0.0,62.4,0.0,0.0,0.0
emotion-classic-light-112x96,student_g1,96x112,onnxruntime,CPU,F32,0.6,0.4,1.6,5.1,248.8,0.1,254.0,3.9,10582.7,32.9,0.3,0.0,0.0,0.0,0.0,57.7,0.0,0.0,63.1,0.0,0.0,0.0
emotion-classic-light-112x96,student_g16,96x112,lne,CPU,F32,0.1,0.1,0.3,5.9,73.0,0.0,78.9,12.7,34056.2,34.2,0.3,0.0,0.0,0.0,0.0,56.5,0.0,0.0,61.8,0.0,0.0,0.0
emotion-classic-light-112x96,student_g16,96x112,onnxruntime,CPU,F32,0.1,0.1,0.3,5.5,113.0,0.1,118.5,8.4,22680.9,34.6,0.3,0.0,0.0,0.0,0.0,57.3,0.0,0.0,62.3,0.0,0.0,0.0
emotion-classic-light-112x96,student_g2,96x112,lne,CPU,F32,0.4,0.2,0.9,5.4,74.5,0.0,79.9,12.5,33623.8,34.3,0.3,0.0,0.0,0.0,0.0,56.7,0.0,0.0,62.0,0.0,0.0,0.0
emotion-classic-light-112x96,student_g2,96x112,onnxruntime,CPU,F32,0.4,0.2,0.9,5.3,201.8,0.1,207.2,4.8,12976.0,42.5,0.4,0.0,0.0,0.0,0.0,76.2,0.0,0.0,64.7,0.0,0.0,0.0
emotion-classic-light-112x96,student_g32,96x112,lne,CPU,F32,0.1,0.1,0.3,5.8,79.3,0.0,85.2,11.7,31540.7,35.5,0.3,0.0,0.0,0.0,0.0,57.1,0.0,0.0,62.3,0.0,0.0,0.0
emotion-classic-light-112x96,student_g32,96x112,onnxruntime,CPU,F32,0.1,0.1,0.3,6.0,98.6,0.1,104.7,9.6,25674.6,34.1,0.3,0.0,0.0,0.0,0.0,57.4,0.0,0.0,62.0,0.0,0.0,0.0
emotion-classic-light-112x96,student_g4,96x112,lne,CPU,F32,0.2,0.1,0.6,5.7,73.4,0.1,79.2,12.6,33956.2,37.4,0.3,0.0,0.0,0.0,0.0,88.2,0.0,0.0,72.8,0.0,0.0,0.0
emotion-classic-light-112x96,student_g4,96x112,onnxruntime,CPU,F32,0.2,0.1,0.6,5.6,158.1,0.1,163.9,6.1,16403.9,37.4,0.3,0.0,0.0,0.0,0.0,88.9,0.0,0.0,73.6,0.0,0.0,0.0
emotion-classic-light-112x96,student_g8,96x112,lne,CPU,F32,0.2,0.1,0.4,5.9,69.0,0.0,75.0,13.3,35859.7,33.4,0.3,0.0,0.0,0.0,0.0,56.3,0.0,0.0,62.1,0.0,0.0,0.0
emotion-classic-light-112x96,student_g8,96x112,onnxruntime,CPU,F32,0.2,0.1,0.4,5.5,124.4,0.1,130.0,7.7,20677.9,33.7,0.3,0.0,0.0,0.0,0.0,57.8,0.0,0.0,62.4,0.0,0.0,0.0
emotion-classic-light-112x96,teacher_onnx,96x112,lne,CPU,F32,0.5,8.5,33.8,5.1,83.5,0.0,88.7,11.3,30297.3,37.6,0.3,0.0,0.0,0.0,0.0,56.9,0.0,0.0,62.3,0.0,0.0,0.0
emotion-classic-light-112x96,teacher_onnx,96x112,onnxruntime,CPU,F32,0.5,8.5,33.8,5.2,328.2,0.1,333.5,3.0,8060.6,37.3,0.3,0.0,0.0,0.0,0.0,56.7,0.0,0.0,62.7,0.0,0.0,0.0
