MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
eyegaze-rankgaze,mobilefacenet-mpiigaze,224x224,lne,GPU/CPU,F32,5.66,1.9,4.2,16.6,6.2,516.7,0.0,522.9,1.9,6425.4,28.4,0.4,0.0,0.0,0.0,0.0,53.1,0.0,0.0,54.7,0.0,0.0,0.0
eyegaze-rankgaze,mobilefacenet-mpiigaze,224x224,ncnn,GPU,F16,5.66,1.9,4.2,8.3,6.2,2096.8,0.4,2103.4,0.5,1597.4,36.4,0.5,0.0,0.0,0.0,0.0,29.3,0.0,0.0,56.6,0.0,0.0,0.0
eyegaze-rankgaze,mobilefacenet-mpiigaze,224x224,ncnn,GPU,F32,5.66,1.9,4.2,16.6,6.3,2095.0,0.4,2101.7,0.5,1598.7,36.9,0.5,0.0,0.0,0.0,0.0,29.3,0.0,0.0,55.5,0.0,0.0,0.0
eyegaze-rankgaze,mobilefacenet-mpiigaze,224x224,onnxruntime,CPU,F32,5.66,1.9,4.2,16.6,6.2,1026.3,0.1,1032.6,1.0,3254.0,28.2,0.4,0.0,0.0,0.0,0.0,53.9,0.0,0.0,54.7,0.0,0.0,0.0
eyegaze-rankgaze,mobilefacenet-mpiigaze-righteye-t50,32x32,lne,GPU/CPU,F32,5.9,0.0,4.1,16.2,0.4,15.5,0.0,16.0,62.6,210365.9,28.1,0.3,0.0,0.0,0.0,0.0,42.7,0.0,0.0,48.4,0.0,0.0,0.0
eyegaze-rankgaze,mobilefacenet-mpiigaze-righteye-t50,32x32,ncnn,GPU,F16,5.9,0.0,4.1,8.1,0.5,171.7,0.3,172.5,5.8,19476.4,33.0,0.4,0.0,0.0,0.0,0.0,31.7,0.0,0.0,51.0,0.0,0.0,0.0
eyegaze-rankgaze,mobilefacenet-mpiigaze-righteye-t50,32x32,ncnn,GPU,F32,5.9,0.0,4.1,16.2,0.5,171.7,0.3,172.5,5.8,19479.8,33.5,0.5,0.0,0.0,0.0,0.0,31.7,0.0,0.0,50.0,0.0,0.0,0.0
eyegaze-rankgaze,mobilefacenet-mpiigaze-righteye-t50,32x32,onnxruntime,CPU,F32,5.9,0.0,4.1,16.2,0.5,96.7,0.1,97.2,10.3,34576.1,27.9,0.3,0.0,0.0,0.0,0.0,53.1,0.0,0.0,49.0,0.0,0.0,0.0
eyegaze-rankgaze,mobilefacenet-mpiigaze-righteye-t50,48x32,lne,GPU/CPU,F32,7.25,0.1,4.1,16.2,0.5,20.3,0.0,20.8,48.0,161439.2,28.1,0.3,0.0,0.0,0.0,0.0,43.6,0.0,0.0,47.6,0.0,0.0,0.0
eyegaze-rankgaze,mobilefacenet-mpiigaze-righteye-t50,48x32,ncnn,GPU,F16,7.25,0.1,4.1,8.1,0.5,185.5,0.3,186.4,5.4,18030.3,33.2,0.4,0.0,0.0,0.0,0.0,31.6,0.0,0.0,51.2,0.0,0.0,0.0
eyegaze-rankgaze,mobilefacenet-mpiigaze-righteye-t50,48x32,ncnn,GPU,F32,7.25,0.1,4.1,16.2,0.5,185.3,0.3,186.2,5.4,18049.1,33.6,0.5,0.0,0.0,0.0,0.0,31.6,0.0,0.0,50.1,0.0,0.0,0.0
eyegaze-rankgaze,mobilefacenet-mpiigaze-righteye-t50,48x32,onnxruntime,CPU,F32,7.25,0.1,4.1,16.2,0.5,116.9,0.1,117.5,8.5,28595.4,28.0,0.3,0.0,0.0,0.0,0.0,53.4,0.0,0.0,49.3,0.0,0.0,0.0
eyegaze-rankgaze,mobilefacenet-mpiigaze-righteye-t50,64x48,lne,GPU/CPU,F32,6.32,0.1,4.1,16.2,0.8,35.4,0.0,36.3,27.6,92684.8,28.2,0.4,0.0,0.0,0.0,0.0,45.6,0.0,0.0,48.4,0.0,0.0,0.0
eyegaze-rankgaze,mobilefacenet-mpiigaze-righteye-t50,64x48,ncnn,GPU,F16,6.32,0.1,4.1,8.1,0.8,256.1,0.3,257.2,3.9,13065.6,33.8,0.5,0.0,0.0,0.0,0.0,30.9,0.0,0.0,51.2,0.0,0.0,0.0
