MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,lne,GPU/CPU,F32,43.8,0.3,0.2,0.9,14.4,108.6,9.5,132.5,7.5,25361.0,21.8,0.3,0.0,0.0,0.0,0.0,48.8,0.0,0.0,50.9,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,ncnn,GPU,F16,43.8,0.3,0.2,0.5,12.2,818.0,92.4,922.6,1.1,3641.9,28.6,0.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,56.2,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,ncnn,GPU,F32,43.8,0.3,0.2,0.9,12.1,817.9,92.3,922.3,1.1,3642.9,29.8,0.5,0.0,0.0,0.0,0.0,30.1,0.0,0.0,55.4,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,onnxruntime,CPU,F32,43.8,0.3,0.2,0.9,15.7,241.0,24.7,281.5,3.6,11937.4,21.2,0.3,0.0,0.0,0.0,0.0,51.6,0.0,0.0,52.7,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,lne,GPU/CPU,F32,31.9,0.2,0.2,0.9,8.6,61.9,5.5,76.0,13.2,44193.5,21.7,0.3,0.0,0.0,0.0,0.0,47.0,0.0,0.0,50.9,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,ncnn,GPU,F16,31.9,0.2,0.2,0.5,7.5,491.5,56.8,555.8,1.8,6045.0,29.3,0.5,0.0,0.0,0.0,0.0,30.4,0.0,0.0,54.1,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,ncnn,GPU,F32,31.9,0.2,0.2,0.9,7.5,491.1,56.8,555.4,1.8,6050.0,29.4,0.5,0.0,0.0,0.0,0.0,30.4,0.0,0.0,54.2,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,onnxruntime,CPU,F32,31.9,0.2,0.2,0.9,7.4,158.8,6.5,172.7,5.8,19454.0,21.5,0.3,0.0,0.0,0.0,0.0,51.9,0.0,0.0,51.0,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,lne,GPU/CPU,F32,41.7,0.3,0.2,0.9,11.1,83.3,7.3,101.7,9.8,33029.5,22.1,0.3,0.0,0.0,0.0,0.0,47.9,0.0,0.0,50.5,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,ncnn,GPU,F16,41.7,0.3,0.2,0.5,9.6,651.6,75.5,736.6,1.4,4561.2,29.5,0.5,0.0,0.0,0.0,0.0,30.2,0.0,0.0,54.8,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,ncnn,GPU,F32,41.7,0.3,0.2,0.9,9.6,652.1,75.4,737.2,1.4,4558.1,29.6,0.5,0.0,0.0,0.0,0.0,30.2,0.0,0.0,54.1,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,onnxruntime,CPU,F32,41.7,0.3,0.2,0.9,9.4,200.0,14.0,223.4,4.5,15039.5,21.7,0.3,0.0,0.0,0.0,0.0,51.7,0.0,0.0,52.3,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,lne,GPU/CPU,F32,73.9,1.3,0.2,0.9,42.6,487.9,36.2,566.7,1.8,5929.2,25.8,0.4,0.0,0.0,0.0,0.0,52.4,0.0,0.0,55.1,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,ncnn,GPU,F16,73.9,1.3,0.2,0.5,43.1,3230.4,362.5,3636.0,0.3,924.1,31.5,0.5,0.0,0.0,0.0,0.0,29.7,0.0,0.0,57.6,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,ncnn,GPU,F32,73.9,1.3,0.2,0.9,42.9,3230.0,362.8,3635.6,0.3,924.2,31.6,0.5,0.0,0.0,0.0,0.0,29.7,0.0,0.0,57.3,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,onnxruntime,CPU,F32,73.9,1.3,0.2,0.9,58.2,879.6,67.6,1005.4,1.0,3342.0,23.2,0.3,0.0,0.0,0.0,0.0,52.9,0.0,0.0,56.1,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,lne,GPU/CPU,F32,67.2,0.8,0.2,0.9,26.6,271.4,22.1,320.2,3.1,10495.0,24.6,0.4,0.0,0.0,0.0,0.0,51.3,0.0,0.0,54.4,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,ncnn,GPU,F16,67.2,0.8,0.2,0.5,27.3,1937.4,219.2,2183.9,0.5,1538.5,30.9,0.5,0.0,0.0,0.0,0.0,29.8,0.0,0.0,58.3,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,ncnn,GPU,F32,67.2,0.8,0.2,0.9,26.7,1937.7,219.2,2183.6,0.5,1538.7,31.0,0.5,0.0,0.0,0.0,0.0,29.8,0.0,0.0,56.8,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,onnxruntime,CPU,F32,67.2,0.8,0.2,0.9,36.1,533.7,52.4,622.2,1.6,5400.3,21.2,0.3,0.0,0.0,0.0,0.0,52.4,0.0,0.0,54.3,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,lne,GPU/CPU,F32,72.3,1.0,0.2,0.9,32.5,354.3,26.7,413.5,2.4,8125.0,25.5,0.4,0.0,0.0,0.0,0.0,52.0,0.0,0.0,55.3,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,ncnn,GPU,F16,72.3,1.0,0.2,0.5,33.1,2421.0,242.4,2696.5,0.4,1246.1,31.4,0.5,0.0,0.0,0.0,0.0,29.7,0.0,0.0,57.6,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,ncnn,GPU,F32,72.3,1.0,0.2,0.9,33.5,2420.3,242.3,2696.1,0.4,1246.2,31.5,0.5,0.0,0.0,0.0,0.0,29.7,0.0,0.0,57.1,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,onnxruntime,CPU,F32,72.3,1.0,0.2,0.9,38.3,670.3,62.0,770.6,1.3,4360.3,21.6,0.3,0.0,0.0,0.0,0.0,52.5,0.0,0.0,55.7,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x320,lne,GPU/CPU,F32,53.4,0.5,0.4,1.7,14.1,135.1,9.4,158.5,6.3,21193.5,23.6,0.3,0.0,0.0,0.0,0.0,49.3,0.0,0.0,53.1,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x320,ncnn,GPU,F16,53.4,0.5,0.4,0.8,11.7,929.3,101.2,1042.2,1.0,3224.0,32.0,0.5,0.0,0.0,0.0,0.0,29.8,0.0,0.0,55.4,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x320,ncnn,GPU,F32,53.4,0.5,0.4,1.7,11.8,929.1,101.3,1042.2,1.0,3223.9,32.0,0.5,0.0,0.0,0.0,0.0,29.8,0.0,0.0,54.8,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x320,onnxruntime,CPU,F32,53.4,0.5,0.4,1.7,11.6,355.3,20.1,387.1,2.6,8680.4,23.0,0.3,0.0,0.0,0.0,0.0,52.2,0.0,0.0,53.7,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x185,lne,GPU/CPU,F32,42.2,0.3,0.4,1.7,8.7,77.7,5.5,91.8,10.9,36593.1,23.7,0.3,0.0,0.0,0.0,0.0,47.6,0.0,0.0,50.8,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x185,ncnn,GPU,F16,42.2,0.3,0.4,0.8,7.5,558.0,62.1,627.6,1.6,5354.1,32.0,0.5,0.0,0.0,0.0,0.0,30.2,0.0,0.0,54.0,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x185,ncnn,GPU,F32,42.2,0.3,0.4,1.7,7.4,558.1,62.1,627.6,1.6,5353.4,32.1,0.5,0.0,0.0,0.0,0.0,30.2,0.0,0.0,53.5,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x185,onnxruntime,CPU,F32,42.2,0.3,0.4,1.7,7.4,217.1,15.9,240.4,4.2,13974.6,23.4,0.3,0.0,0.0,0.0,0.0,51.4,0.0,0.0,52.4,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x250,lne,GPU/CPU,F32,51.9,0.4,0.4,1.7,11.3,105.3,7.4,123.9,8.1,27125.4,24.0,0.3,0.0,0.0,0.0,0.0,48.8,0.0,0.0,52.1,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x250,ncnn,GPU,F16,51.9,0.4,0.4,0.8,9.6,738.9,82.7,831.1,1.2,4042.7,32.4,0.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,55.5,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x250,ncnn,GPU,F32,51.9,0.4,0.4,1.7,9.7,739.0,82.7,831.4,1.2,4041.6,32.4,0.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,54.0,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x250,onnxruntime,CPU,F32,51.9,0.4,0.4,1.7,9.5,270.4,18.5,298.4,3.4,11260.4,23.6,0.3,0.0,0.0,0.0,0.0,52.1,0.0,0.0,53.1,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,640x640,lne,GPU/CPU,F32,79.9,2.1,0.4,1.7,42.3,594.0,36.1,672.4,1.5,4997.2,27.5,0.4,0.0,0.0,0.0,0.0,52.7,0.0,0.0,55.4,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,640x640,ncnn,GPU,F16,79.9,2.1,0.4,0.8,43.3,3657.4,397.9,4098.7,0.2,819.8,37.0,0.6,0.0,0.0,0.0,0.0,29.5,0.0,0.0,57.5,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,640x640,ncnn,GPU,F32,79.9,2.1,0.4,1.7,43.6,3657.4,398.1,4099.0,0.2,819.7,37.0,0.6,0.0,0.0,0.0,0.0,29.5,0.0,0.0,58.0,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,640x640,onnxruntime,CPU,F32,79.9,2.1,0.4,1.7,50.2,1222.1,66.9,1339.2,0.7,2509.0,24.4,0.3,0.0,0.0,0.0,0.0,53.2,0.0,0.0,57.0,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,640x380,lne,GPU/CPU,F32,75.0,1.3,0.4,1.7,26.8,342.3,22.1,391.1,2.6,8590.2,32.2,0.4,0.0,0.0,0.0,0.0,52.1,0.0,0.0,54.3,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,640x380,ncnn,GPU,F16,75.0,1.3,0.4,0.8,27.0,2195.8,240.7,2463.4,0.4,1364.0,41.6,0.6,0.0,0.0,0.0,0.0,29.8,0.0,0.0,57.1,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,640x380,ncnn,GPU,F32,75.0,1.3,0.4,1.7,26.8,2195.4,240.8,2463.0,0.4,1364.2,42.0,0.6,0.0,0.0,0.0,0.0,29.8,0.0,0.0,56.6,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,640x380,onnxruntime,CPU,F32,75.0,1.3,0.4,1.7,36.2,737.8,56.1,830.1,1.2,4047.6,30.6,0.4,0.0,0.0,0.0,0.0,52.9,0.0,0.0,55.8,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,640x480,lne,GPU/CPU,F32,78.7,1.6,0.4,1.7,32.9,441.1,27.0,501.0,2.0,6706.1,33.8,0.4,0.0,0.0,0.0,0.0,52.7,0.0,0.0,56.0,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,640x480,ncnn,GPU,F16,78.7,1.6,0.4,0.8,33.0,2746.8,279.1,3058.9,0.3,1098.4,43.0,0.6,0.0,0.0,0.0,0.0,29.8,0.0,0.0,57.3,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,640x480,ncnn,GPU,F32,78.7,1.6,0.4,1.7,33.2,2745.5,278.2,3056.9,0.3,1099.2,42.9,0.6,0.0,0.0,0.0,0.0,29.8,0.0,0.0,57.0,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,640x480,onnxruntime,CPU,F32,78.7,1.6,0.4,1.7,45.0,945.7,62.9,1053.7,0.9,3188.9,31.6,0.4,0.0,0.0,0.0,0.0,53.1,0.0,0.0,55.6,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,320x320,lne,GPU/CPU,F32,61.9,0.9,0.7,2.9,15.8,246.5,10.9,273.3,3.7,12296.0,31.7,0.4,0.0,0.0,0.0,0.0,51.0,0.0,0.0,54.2,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,320x320,ncnn,GPU,F16,61.9,0.9,0.7,1.5,11.8,1789.8,102.4,1904.1,0.5,1764.7,41.1,0.6,0.0,0.0,0.0,0.0,29.6,0.0,0.0,58.2,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,320x320,ncnn,GPU,F32,61.9,0.9,0.7,2.9,11.8,1789.8,102.7,1904.2,0.5,1764.5,41.6,0.6,0.0,0.0,0.0,0.0,29.6,0.0,0.0,57.5,0.0,0.0,0.0
