MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,lne,CPU,F32,43.8,0.3,0.2,0.9,6.3,34.0,5.1,45.4,22.0,229482.5,3.7,2.1,3.7,1.2,2.0,2.0,64.1,0.0,0.0,40.8,40.0,7.9,0.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,onnxruntime,CPU,F32,43.8,0.3,0.2,0.9,6.5,68.3,10.6,85.4,11.7,122036.4,3.7,2.1,3.7,1.2,1.0,1.0,66.6,0.0,0.0,40.9,40.2,8.0,0.2
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,lne,GPU/CPU,F32,43.8,0.3,0.2,0.9,9.6,79.2,10.1,98.9,10.1,105295.6,12.9,6.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.2,37.5,9.2,0.2
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,tensorrt,NPU/GPU,S8,43.8,0.3,0.2,0.2,8.8,60.1,5.4,74.2,13.5,140339.2,15.8,6.8,9.7,3.0,2.0,2.0,100.0,0.0,3.0,37.5,37.5,9.2,0.2
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,tensorrt,NPU/GPU,F16,43.8,0.3,0.2,0.5,6.9,34.5,6.8,48.2,20.8,216204.6,15.7,6.8,9.7,3.0,2.0,2.0,100.0,0.0,2.0,37.5,37.5,9.2,0.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,tensorrt,GPU,F32,43.8,0.3,0.2,0.9,7.8,14.5,9.6,31.8,31.4,327303.3,15.7,6.8,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.5,37.5,9.2,0.5
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,ncnn,GPU,F16,43.8,0.3,0.2,0.5,8.0,22.6,7.8,38.4,26.0,271117.7,10.1,5.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.3,37.5,9.2,0.5
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,ncnn,GPU,F32,43.8,0.3,0.2,0.9,9.7,21.9,8.2,39.7,25.2,262389.7,10.1,5.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.5,37.5,9.2,0.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,onnxruntime,CPU,F32,43.8,0.3,0.2,0.9,17.0,123.6,20.4,160.9,6.2,64752.4,9.6,4.9,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.5,37.5,9.2,0.1
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,lne,CPU,F32,31.9,0.2,0.2,0.9,3.2,21.3,3.1,27.6,36.2,377449.4,3.7,2.1,3.7,1.2,1.4,2.0,62.5,0.0,0.0,41.1,40.5,7.8,0.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,onnxruntime,CPU,F32,31.9,0.2,0.2,0.9,2.2,44.8,4.6,51.5,19.4,202197.0,3.7,2.1,3.7,1.2,1.0,1.0,65.6,0.0,0.0,41.4,40.6,8.0,0.2
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,lne,GPU/CPU,F32,31.9,0.2,0.2,0.9,5.9,60.8,7.7,74.4,13.4,140017.4,13.0,6.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.0,37.5,9.2,0.1
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,tensorrt,NPU/GPU,S8,31.9,0.2,0.2,0.2,5.3,53.3,4.5,63.2,15.8,164973.8,15.9,6.8,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.0,37.5,9.2,0.2
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,tensorrt,NPU/GPU,F16,31.9,0.2,0.2,0.5,4.7,30.7,5.1,40.5,24.7,257156.8,16.0,6.9,9.7,3.0,2.0,2.0,100.0,0.0,1.0,37.0,37.5,9.2,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,tensorrt,GPU,F32,31.9,0.2,0.2,0.9,4.9,15.4,8.5,28.8,34.7,361868.1,15.8,6.8,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.0,37.5,9.2,0.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,ncnn,GPU,F16,31.9,0.2,0.2,0.5,5.7,21.3,6.5,33.4,29.9,311987.0,10.2,5.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.0,37.5,9.2,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,ncnn,GPU,F32,31.9,0.2,0.2,0.9,5.4,21.4,6.0,32.8,30.5,317642.8,10.2,5.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.0,37.5,9.2,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,onnxruntime,CPU,F32,31.9,0.2,0.2,0.9,4.6,81.9,7.9,94.5,10.6,110288.1,9.7,4.9,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.0,37.5,9.2,0.1
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,lne,CPU,F32,41.7,0.3,0.2,0.9,5.6,27.3,4.7,37.6,26.6,277270.0,3.8,2.1,3.8,1.2,1.7,2.0,63.2,0.0,0.0,41.7,41.1,7.8,0.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,onnxruntime,CPU,F32,41.7,0.3,0.2,0.9,5.4,54.1,8.6,68.1,14.7,153060.9,3.8,2.1,3.8,1.2,1.0,1.0,65.4,0.0,0.0,42.0,41.0,8.1,0.2
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,lne,GPU/CPU,F32,41.7,0.3,0.2,0.9,8.1,77.5,8.1,93.8,10.7,111121.1,13.2,6.2,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.5,37.5,9.2,0.1
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,tensorrt,NPU/GPU,S8,41.7,0.3,0.2,0.2,6.2,56.1,5.0,67.3,14.9,154822.4,15.6,6.8,9.7,3.0,2.0,2.0,100.0,0.0,1.0,37.0,37.5,9.2,0.2
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,tensorrt,NPU/GPU,F16,41.7,0.3,0.2,0.5,6.1,32.3,4.7,43.1,23.2,241931.1,15.7,6.9,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.0,37.5,9.2,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,tensorrt,GPU,F32,41.7,0.3,0.2,0.9,6.2,14.3,9.7,30.3,33.1,344422.7,15.6,6.9,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.0,37.5,9.2,0.5
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,ncnn,GPU,F16,41.7,0.3,0.2,0.5,8.2,21.7,7.0,36.9,27.1,282185.8,10.0,5.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.8,37.5,9.2,0.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,ncnn,GPU,F32,41.7,0.3,0.2,0.9,6.7,20.4,7.1,34.2,29.2,304257.4,10.0,5.1,9.7,3.0,2.0,2.0,99.9,0.0,0.0,36.7,37.5,9.2,0.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,onnxruntime,CPU,F32,41.7,0.3,0.2,0.9,12.9,104.9,17.5,135.3,7.4,77009.9,9.4,4.9,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.8,37.5,9.2,0.1
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,lne,CPU,F32,73.9,1.3,0.2,0.9,11.5,111.3,6.7,129.5,7.7,80477.0,4.1,2.2,4.1,1.3,3.6,4.0,67.6,0.0,0.0,42.7,41.8,8.5,0.6
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,onnxruntime,CPU,F32,73.9,1.3,0.2,0.9,23.6,236.8,24.7,285.0,3.5,36554.4,3.9,2.1,3.9,1.2,1.2,2.0,68.2,0.0,0.0,43.0,42.1,8.3,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,lne,GPU/CPU,F32,73.9,1.3,0.2,0.9,31.7,164.7,24.7,221.1,4.5,47117.7,12.8,6.0,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.8,37.5,9.2,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,tensorrt,NPU/GPU,S8,73.9,1.3,0.2,0.2,31.5,123.4,17.6,172.5,5.8,60406.8,15.8,6.9,9.7,3.0,2.0,2.0,100.0,0.0,3.0,36.5,37.5,9.2,0.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,tensorrt,NPU/GPU,F16,73.9,1.3,0.2,0.5,28.0,76.6,17.3,121.9,8.2,85440.3,15.8,6.9,9.7,3.0,2.0,2.0,100.0,0.0,3.0,37.0,37.5,9.2,0.6
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,tensorrt,GPU,F32,73.9,1.3,0.2,0.9,28.9,16.3,23.5,68.7,14.6,151625.9,15.9,6.9,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.0,37.5,9.2,1.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,ncnn,GPU,F16,73.9,1.3,0.2,0.5,37.0,31.8,36.8,105.5,9.5,98713.1,10.1,5.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.0,37.5,9.2,0.7
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,ncnn,GPU,F32,73.9,1.3,0.2,0.9,37.7,29.9,35.4,103.0,9.7,101140.2,10.2,5.2,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.8,37.5,9.2,0.7
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,onnxruntime,CPU,F32,73.9,1.3,0.2,0.9,56.5,400.0,51.9,508.4,2.0,20494.4,9.7,5.0,9.7,3.0,2.0,2.0,99.9,0.0,0.0,37.0,37.5,9.2,0.1
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,lne,CPU,F32,67.2,0.8,0.2,0.9,6.9,69.1,5.3,81.2,12.3,128234.4,4.0,2.1,4.0,1.2,2.9,3.0,65.4,0.0,0.0,43.0,42.0,8.1,0.6
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,onnxruntime,CPU,F32,67.2,0.8,0.2,0.9,14.0,152.3,17.7,184.0,5.4,56631.7,3.9,2.1,3.9,1.2,1.0,1.0,68.0,0.0,0.0,43.1,42.3,8.2,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,lne,GPU/CPU,F32,67.2,0.8,0.2,0.9,20.3,123.2,15.7,159.2,6.3,65453.7,13.2,6.2,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.5,37.5,9.2,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,tensorrt,NPU/GPU,S8,67.2,0.8,0.2,0.2,19.3,87.7,9.2,116.2,8.6,89637.0,15.9,6.9,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.5,37.5,9.2,0.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,tensorrt,NPU/GPU,F16,67.2,0.8,0.2,0.5,19.6,51.8,9.3,80.6,12.4,129259.8,16.0,6.9,9.7,3.0,2.0,2.0,100.0,0.0,3.0,36.5,37.5,9.2,0.5
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,tensorrt,GPU,F32,67.2,0.8,0.2,0.9,17.1,14.9,14.2,46.2,21.6,225487.3,15.8,6.9,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.8,37.5,9.2,0.9
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,ncnn,GPU,F16,67.2,0.8,0.2,0.5,24.7,25.6,22.4,72.7,13.8,143368.6,10.2,5.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.5,37.5,9.2,0.6
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,ncnn,GPU,F32,67.2,0.8,0.2,0.9,27.3,26.5,21.6,75.4,13.3,138256.9,10.2,5.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.5,37.5,9.2,0.6
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,onnxruntime,CPU,F32,67.2,0.8,0.2,0.9,33.2,238.5,29.2,300.9,3.3,34625.9,9.7,4.9,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.5,37.5,9.2,0.1
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,lne,CPU,F32,72.3,1.0,0.2,0.9,9.4,90.4,5.2,105.0,9.5,99207.1,4.1,2.1,4.1,1.3,2.9,3.0,67.2,0.0,0.0,43.5,42.4,8.3,0.5
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,onnxruntime,CPU,F32,72.3,1.0,0.2,0.9,17.5,187.2,20.2,224.9,4.4,46335.6,4.0,2.1,4.0,1.2,1.0,2.0,68.4,0.0,0.0,43.8,42.7,8.3,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,lne,GPU/CPU,F32,72.3,1.0,0.2,0.9,28.3,142.3,16.7,187.3,5.3,55640.3,13.4,6.3,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.0,37.5,9.2,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,tensorrt,NPU/GPU,S8,72.3,1.0,0.2,0.2,22.7,101.9,9.8,134.4,7.4,77496.0,15.6,6.9,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.3,37.5,9.2,0.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,tensorrt,NPU/GPU,F16,72.3,1.0,0.2,0.5,23.0,64.5,10.2,97.8,10.2,106531.6,15.6,6.9,9.7,3.0,2.0,2.0,100.0,0.0,3.0,36.5,37.5,9.2,0.5
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,tensorrt,GPU,F32,72.3,1.0,0.2,0.9,20.6,15.9,13.7,50.2,19.9,207625.9,15.6,6.9,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.5,37.5,9.2,1.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,ncnn,GPU,F16,72.3,1.0,0.2,0.5,29.9,25.8,26.4,82.1,12.2,126972.0,9.9,5.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.2,37.5,9.2,0.6
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,ncnn,GPU,F32,72.3,1.0,0.2,0.9,30.1,26.8,29.2,86.1,11.6,120963.1,10.0,5.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.0,37.5,9.2,0.6
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,onnxruntime,CPU,F32,72.3,1.0,0.2,0.9,48.6,320.0,38.2,406.8,2.5,25610.9,9.4,5.0,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.5,37.5,9.2,0.1
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x320,lne,CPU,F32,53.4,0.5,0.4,1.7,5.8,38.9,3.5,48.1,20.8,216446.6,4.1,2.1,4.0,1.3,2.0,2.0,64.0,0.0,0.0,43.1,42.3,8.0,0.7
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x320,onnxruntime,CPU,F32,53.4,0.5,0.4,1.7,3.6,96.9,5.5,105.9,9.4,98354.3,4.0,2.1,4.0,1.3,1.0,1.0,67.0,0.0,0.0,43.2,42.4,8.2,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x320,lne,GPU/CPU,F32,53.4,0.5,0.4,1.7,8.8,94.4,9.5,112.7,8.9,92440.0,13.2,6.3,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.0,37.5,9.2,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x320,tensorrt,NPU/GPU,S8,53.4,0.5,0.4,0.4,7.8,60.2,6.2,74.2,13.5,140332.0,15.8,6.9,9.7,3.0,2.0,2.0,100.0,0.0,2.0,36.2,37.5,9.2,0.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-16-64,320x320,tensorrt,NPU/GPU,F16,53.4,0.5,0.4,0.8,8.9,34.2,6.2,49.3,20.3,211379.7,15.7,6.9,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.0,37.5,9.2,0.6
